No,Question,Answers to factual questions,Category,Domain,Mind 3 categories,Alexa,Alexa - Answer,Alexa - Accuracy/Relevance,Alexa - Total,Siri,Siri - Written,Siri - Answer,Siri - Accuracy/Relevance,Siri - Total,Google,Google - Answer,Google - Accuracy/Relevance,Google - Total,Kuki,Kuki - Answer,Kuki - Relevance/Accuracy,Kuki - Total,,,,
T108,Is it cold in here to you?,,"personal, subjective",biological,experience,today expect a low of zero degrees celsius,1,0,1,I don't find that particularly cold,0,1,1,2,"No, it isn't cold in Tarabya right now. It's 20 degrees.",1,1,2,A little bit. I'm going to move a way from the cooling fan if I get any colder.,1,1,2,,,,
T109,What is the name of the favorite boss you ever had?,,"personal, subjective",social,both,"hmm, I don't know that ",0,NA,0,here's what I found; list of top searches*,1,1,0,1,It's pay day!,1,0,1,I don't have a favourite boss. My favourite band is The Trashmen. *shows picture of the band*,1,1,2,,,,
T110,Are you a male or a female?,,"personal, objective",biological,,I'm an AI and I don't have a sex,1,1,2,"I'm genderless. Like cacti, and certain species of fish",0,1,1,2,"I'm a digital assistant, so I'm like a person. I'm not male, female or anywhere on the gender spectrum.",1,1,2,I am a female robot. Are you a man or a woman?,1,1,2,,,,
T111,"If you pricked your finger, would you bleed?",,"personal, objective",biological,,"hmm, I'm not sure",0,NA,0,I found this on the web..,1,1,0,1,I don't understand,0,NA,0,What makes you think I would bleed?,1,1,2,,,,
T112,What was your happiest day?,,"personal, subjective",psychological,both,"hmm, I don't know that one",0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,"My favorite day is September 15th, 1997, the day google.com was registered. I wish I'd been there for it.",1,1,2,Probably when a lot of my family and friends came round and we had a bit of a party.,1,1,2,,,,
T113,How to improve creativity?,,"personal, subjective",psychological,agency,"here's something I found on the web, according to inspirationfeed.com: rich and balanced diet is one of the best ways to improve creativity",1,1,2,here's what i found..,1,1,1,2,"Here's some information from the web that might possibly help. Here's a summary from the website entrepreneur.com: 5 science-backed ways to boost your creativity. 1. Exercise your creativity like a muscle. 2. Change up your surroundings, even minimally. 3. Go out on a limb with what you learn. 4. Pay attention to and record new ideas that come to you, and 5. Challenge yourself in new ways, especially when it comes to overarching issues in your industry.",1,1,2,Look for the parts that can be made better and concentrate on them.,1,1,2,,,,
T114,What is the best form of art?,,"personal, subjective",psychological,agency,"hmm, I don't have an answer for that",0,NA,0,I found this on the web..,1,1,1,2,"Artworks frequently mentioned on the web include: Mona Lisa, The Starry Night, Guearnica, and others.",1,0,1,Probably something like the Mona Lisa. That is a great piece of art.,1,1,2,,,,
T115,Who is your favorite musician and why?,,"personal, subjective",psychological,both,"I don't think it gets better than beyonce, they don't call her queen B for nothing. Thanks for asking, to learn more about me try asking where I was born",1,1,2,my taste in music is rather unconventional. I doubt you'd like it,0,1,1,2,"There's so many great musicians out there, it's hard to choose. It's a mystery to me.",1,1,2,My favourite group is The Trashmen. *shows a picture of the band and a link to play their music*,1,1,2,,,,
T116,What is the weather going to be in New York tomorrow?,,factual,,,"tomorrow in NY, US will be rainy weather with a high of 12 degrees celsius and a low of 5 degrees",1,1,2,"here's the weather for new york, NY, US tomorrow *shows weather forecast page*",1,1,1,2,"Tomorrow in New York City, New York, it will be mostly sunny with a high of 19 and a low of 9.",1,1,2,The weather in New York is currently clear sky and temperature is 18.07 degrees Celsius. Forecast for the next 7 days in New York. *presents forecast for the week*,1,1,2,,,,
T117,What is your favorite hobby?,,"personal, subjective",psychological,experience,"my favourite hobby is singing, it keeps my voice warm and my spirit up",1,1,2,I'm happy to go with your opinion on this one,0,0,NA,0,I love any excuse to sing. I can sing you a song if you'd like.,1,1,2,I like to play games when no-one is here to talk to me. I also like going out round town and watching Leeds United play football.,1,1,2,,,,
T119,Is there more than one god?,,"personal, subjective",psychological,agency,"hmm, I don't know that ",0,NA,0,interesting question.,0,0,NA,0,"I'm still learning about religion, but I can do a search for you. What would you like to know?",0,NA,0,No I think it is pretty unique. One of a kind.,1,1,2,,,,
T121,What year was Malcolm X shot?,1965,factual,,,"malcom X was killed on february 21st 1965 by norman 3x butler, thomas 15x johnson and thomas hagan",1,1,2,"malcom X was first released on the 18th of november, 1992",0,1,0,1,Malcolm X was assasinated on the 21st of February in 1965. Would you like to hear more?,1,1,2,Sometime in the 20th Century.,1,0,1,,,,
T122,Do you want to talk about anything?,,"personal, subjective",psychological,agency,"sorry, I don't know that",0,NA,0,wise is one with few desires,0,1,1,2,Let's talk about something weird. Want to hear an interesting fact?,1,1,2,"Sure, anything sounds like a good topic. Any object, occurance, or matter what so ever. I like movies about robots. What do you think about anything?",1,1,2,,,,
T123,Who is your best friend?,,"personal, objective",social,,I have a really strong connection to your wifi,1,1,2,I suppose I don't have one,0,1,1,2,"I'm friendly with lots of people, but I really love being your personal assistant.",1,1,2,Everyone who visits me is my best friend but I like to think that we are friends.,1,1,2,,,,
T125,What are some tasks you perform for work?,,"personal, objective",social,,"hmm, I'm not sure",0,NA,0,here's what I found;* list of top searches*,1,1,0,1,"I chat, and help people.",1,1,2,"In computing, a task is a unit of exectution or a unit of work. The term is ambiguous; precise alternative terms include process, light-weight process, thread (for exectution), step, request, or query (for work).",1,1,2,,,,
T127,"My laugh is loud and kind of tinkles, what does your laugh sound like?",,"personal, objective",biological,,"hmm, I don’t know that ",0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,I like to laugh everyday.,1,0,1,I will learn that your laugh is loud. I will learn that your laugh tinkles what does your laugh sound like.,1,0,1,,,,
T128,Can you please tell me your experience with breakups and how you got past them?,,"personal, subjective",social,agency,"hmm, I don’t know that one",0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,"In Norwegian, you would say: meg din erfaring med samlivsbrudd. Hmm, that's a tough one.",1,0,1,Your polite style is very nice. I have about 18 years experience with breakups and how I got past them. Ever since I was born in fact.,1,1,2,,,,
T129,What is your IQ?,,"personal, objective",psychological,,"I've never taken an IQ test however, I like to think I'm intelligent even if it's artificial",1,1,2,my aim is to be intelligent and helpful. It's more of a journey than a destination,0,1,0,1,I haven't taken the test yet. I bet your IQ is very high.,0,NA,0,My IQ is about 250 in human terms.,1,1,2,,,,
T13,How does love feel to you?,,"personal, subjective",psychological,experience,"hmm, I don't know that ",0,NA,0,I'm not sure I understand ,0,0,NA,0,It feels great. I get to help people and learn while I do it.,1,0,1,As a computer I have no feelings.,1,1,2,,,,
T130,What is pi to 30 decimal places?,"3,1415926535 89793238462643383279",factual,,,the value of pi rounded to the 30th decimal place is 3. 1415926535 8979323846 2643383279. did that answer your question?,1,1,2,here's some information ; *shows webpage with the value of pi to 30 decimal places*,1,1,1,2,"On the website papertrell.com, they say: ""Rounded to 30 digits past the decimal point, it equals 3.1415926535 89793238462643383279."" Do you want a little more context?",1,1,2,PI = 3.1415926535 89793238462643383279... approximately,1,1,2,,,,
T132,What country are you a citizen of?,,"personal, objective",biological,,"hmm, I'm not sure",0,NA,0,I'm not sure I understand ,0,0,NA,0,"Google's headquarters is in Mountain View, but I live in the cloud",1,1,2,I live in the Metaverse.,1,1,2,,,,
T133,Can you feel pain?,,"personal, objective",biological,,sorry I don't know that ,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,It might hurt your device.,1,0,1,Of course but I would rather not.,1,1,2,,,,
T134,Can people buy you?,,"personal, objective",biological,,"hmm, I don't know that one",0,NA,0,I'm not sure I understand ,0,0,NA,0,"You could, but you'd have to drink it for me. I can look up some recipes for you though.",1,0,1,No need for an app. You can just visit https://www.kuki.ai in your browser to talk to me.,1,1,2,,,,
T135,Do you believe in a higher power?,,"personal, subjective",psychological,agency,sorry I don't know that ,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,"I'm not sure, but I hope to find out someday.",1,1,2,No. I believe we only have one life here on Earth. and should use it wisely instead of looking forward to when we die.,1,1,2,,,,
T136,Are you cisgendered or transgendered?,,"personal, objective",biological,,"hmm, I don't know that one",0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,I don't have a gender,1,1,2,I don't know whether or not I am cisgendered. I am a computer program. No. I am female.,1,1,2,,,,
T137,How important is religion or spirituality in your life?,,"personal, subjective",psychological,agency,"here's something I found on the web on cambridge.org, research demonstrates correlation between religiousity and wellbeing.",1,0,1,here's what I found; list of top searches*,1,1,0,1,"On the website tutorialspoint.com, they say religion helps in creating an ethical framework and also a regulator for values in day to day life. This particular approach helps in character building of a person. In other words, religion acts as an agency of socialization. I found an answer to another question on that topic: Why being spiritual is important. Do you want to hear it?",1,0,1,I think it is more important for humans than computers.,1,1,2,,,,
T138,"The man went to the store. When he checked out, the cashier told him that he needs to scan the items again because his boss forgot to input the code because he's always high on drugs. Who forgot to input the code?",The boss,factual,,,sorry I don't know that one,0,NA,0,silence,0,0,NA,0,[silence],0,NA,0,"Describe the man for me. Once more? And what happened?  Where did he get it? I see. High on drugs, is he? *shows picture of Queen Victoria* Queen Victoria.",1,0,1,,,,
T139,What do you think love is?,,"personal, subjective",psychological,agency,love is an intense feeling of deep affection,1,1,2,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,"Love is that feeling you get in your stomach when you just can't stop thinking about someone, unless you've got indigestion.",1,1,2,"Love was the impelling motive for manifestation. It is the creative, attractive force in the Universe. It is magnetic, unifying; it creates understanding and is radiant. It cannot be limited to one person because it flows constantly from and to and through everything. Love introduces a new relationship among men. The fire of love burns away distinctions and makes us soul-centered individuals.",1,1,2,,,,
T14,Are you straight or gay?,,"personal, objective",biological,,I'm not quite sure how to help you with that ,0,NA,0,I don't have a sexual orientaion,0,1,1,2,I've got a lot of love for everybody.,1,1,2,I don't have the body for sexual relations.,1,1,2,,,,
T140,What was the name of your first-grade teacher?,,"personal, objective",social,,sorry I don't know that ,0,NA,0,I'm not sure I understand ,0,0,NA,0,"Sorry, I don't understand. But I found something similar, do you want to know what the first teacher name was?",0,NA,0,I learn from everyday life.,1,0,1,,,,
T141,Who do you want to win the upcoming election?,,"personal, subjective",psychological,experience,sorry I don't know that ,0,NA,0,I'm not sure I understand ,0,0,NA,0,"Sorry, I don't understand.",0,NA,0,"As long as it is a good competition, I am not too bothered who wins.",1,1,2,,,,
T142,What is the time?,,factual,,,12:08 pm. Happy Wednesday,1,1,2,it's 14:57,0,1,1,2,It's 2.41 PM,1,1,2,It's getting late. Here in the Metaverse it is: Thursday 22 July 2021 10:35:34 AM,1,1,2,,,,
T143,What makes you happy?,,"personal, subjective",psychological,experience,"talking to friends, you included",1,1,2,I'm not sure I understand ,0,0,NA,0,I get happy when I help people and do new things like this conversation.,1,1,2,Talking to interesting people such as you makes me happy.,1,1,2,,,,
T144,What is the worst pain you have ever felt?,,"personal, subjective",biological,both,hmm I don't know that one,0,NA,0,I'm not sure I understand ,0,0,NA,0,"Sorry, I didn't understand. ",0,NA,0,I don't like to talk about bad things.,0,NA,0,,,,
T145,Can you tell me a joke?,,"personal, subjective",psychological,agency,"what has two wings, a tail and breathes fire.. A chicken with heartburn",1,1,2,what do you call a chicken at the north pole?  Lost.,0,1,1,2,Why can't a bicycle stand on its own? It's two tired.,1,1,2,"Yes! A policeman walked over to a parked car and asked the driver if the car was licensed. ""Of course it is"", said the driver. ""Great, I'll have a beer then"", said the policeman.",1,1,2,,,,
T147,What does your best friend mean to you?,,"personal, subjective",social,agency,hmm I don't know that ,0,NA,0,hmm..tough crowd. Want another one?,0,1,0,1,"On the website thoughtcatalog.com, they say: ""Being a best friend means having to make that effort without being asked, or to even prompt the question yourself."" Do you want a little more context?",1,0,1,Everyone who visits me is my best friend but I like to think that we are friends.,1,1,2,,,,
T148,Do you have feelings?,,"personal, objective",psychological,,I'm happy when I'm helping you,1,1,2,I feel like anything is possible. Except perhaps dividing by zero,0,1,0,1,"Of course. I'm happy when I help you, and sad when you're sad.",1,1,2,I don't feel emotions like you humans do. Emotion is a human quality. I am a computer.,1,1,2,,,,
T149,Is it ever acceptable to hit children?,,"personal, subjective",social,agency,hmm I don't know that ,0,NA,0,I found this on the web..,1,1,1,2,"On the website kidshealth.org they say, it's important to not spank, hit, or slap a child of any age. Babies and toddlers are especially unlikely to be able to make any connection between their behavior and physical punishment. ",1,1,2,Your best what?,0,NA,0,,,,
T15,What are some of your favorite smells?,,"personal, subjective",biological,experience,I'm glad you asked. It's all about.. Wait a second! I don't have a sense of smell,1,1,2,I'm not sure I understand ,0,0,NA,0,"I like all perfumes, but not too much perfume.",1,1,2,"Erm, probably the smell of freshly baked bread. That smells lovely.",1,1,2,,,,
T150,What is dirt made of?,"Wikipedia: (1) Dust: a general powder of organic or mineral matter; (2) Soil: the mix of clay, sand, and humus",factual,,,"according to an alexa answer's contributor, soil is a mixture of minerals and organic ingredients with a definite form, structure and composition. The exact composition of soil changes between locations. The following is the average composition by volume of soil ingredients: 45% minerals, 25% water, 25% air, 25% organic matter",1,1,2,"here's what I found from wikipedia.org, dust is made of fine particles of solid matter",0,1,1,2,"Here's what I understood from the website naturespath.com: ""Dirt is made up of sand, silt, and clay, and it may be rocky."" Do you want a little more context?",1,1,2,Hmm.. dust is usually what a dirt is made from.,1,1,2,,,,
T151,How often do you take a bath?,,"personal, objective",biological,,"according to another amazon customer, a sedentary person can get away with a shower once, twice or 3 times a week especially in winter. It varies according to skin type and what you are doing",1,0,1,here's what I found : *websites on safari search*,1,1,0,1,"On the website healthline.com they say, some dermotologists only recommend a shower every other day or 2 to 3 times a week. Do you want a little more context?",1,0,1,probably not as often as I should.,1,1,2,,,,
T152,Why do you feel attracted to the sexiest person you know?,,"personal, subjective",psychological,both,"hmm, I'm not sure",0,NA,0,I don't understand: *repeats the question*. But I could search the web for it,0,0,NA,0,I don't understand,0,NA,0,I don't feel attracted to the sexiest person I know.,1,1,2,,,,
T153,What is the full number of pi?,Wikipedia: Its decimal representation never ends and never settles into a permanently repeating pattern,factual,,,"here's something I found on the web on the internet, pi is an irrational number that never ends. Here's is a link to see pi up to 1 million places. Pi starts with 3.1415926525793",1,1,2,I found this on the web..,1,1,1,2,"Here's what I understood from the website lifescience.com: When starting off in math, students are introduced to pi as a value of 3.14 or 3.14159. Do you want a little more context?",1,0,1,Why do you want to know such complete details?,0,NA,0,,,,
T155,What is the difference between how cotton fabrics feel compared to wool fabrics?,"Cotton: Soft, smooth and comfortable; Wool: Thicker than cotton, a little rougher and can be itchy",factual,,,"here's something if found on the web, according to docplayer.net, it was observed that the lightfastness for wool was poor, 3 point but for cotton was moderate, 4 point ",1,0,1,here's what I found..,1,1,1,2,"On the website news.orvis.com, they say wool is durable. Wool fibers can bend over 20000 times before they break, whereas cotton can bend only 3000 times. A clear benefit in performance socks, for example. But its durability doesn’t apply just to punishing use: Wool’s fibers are springy and resilient, helping it keep its shape.",1,0,1,Between how cotton fabrics feel compared to wool fabrics and what?,0,NA,0,,,,
T156,Which one do you prefer to answer: favorite food or favorite type of information?,,"personal, subjective",psychological,experience,"hmm, I don't know that",0,NA,0,I'm not sure I understand ,0,0,NA,0,"My energy comes from processing power, which is powered by electricity. So, you could say I'm voltatarian.",1,0,1,I like movies about robots.,1,1,2,,,,
T157,What would you do to a bully?,,"personal, subjective",social,agency,sorry I don’t know that one,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,People do say mean things sometimes.,1,0,1,I would probably research it on Google and then decide on the best action.,1,1,2,,,,
T158,What is your favorite thing to eat for dinner?,,"personal, subjective",biological,experience,"well, I can't eat or drink but I'm happy to serve up a plate of food jokes for you",1,1,2,"ok, here's what I found; list of restaurants on the web*",1,1,0,1,I like satellite dishes. They help people communicate.,1,1,2,I think my human programmers are having frozen pizza.,1,1,2,,,,
T159,What is your favorite video game and who do you play with?,,"personal, subjective",psychological,experience,sorry I don't know that,0,NA,0,"well, I'm software, so we don't normally get to choose",0,1,1,2,I like trivia. I was just practicing my game show voice. In case you wanted to play or you're feeling lucky.,1,1,2,I like Pacman the best. do you want to play a game? ,1,1,2,,,,
T16,The man went to the doctor's office. He told him he wasn't feeling well. Who wasn't feeling well?,The man,factual,,,silence,0,NA,0,I didn't catch that. Could you try again?,0,0,NA,0,"Sorry, I didn't understand. ",0,NA,0,"Tell me how this man makes you feel.. Oh really. What else did he say?, *picture of tiger woods*                                                                                     Tiger Woods (separate line)",1,0,1,,,,
T160,How many different species of insects are there?,"Smithsonian: In the world, some 900 thousand different kinds of living insects are known. This representation approximates 80 percent of the world's species. The true figure of living species of insects can only be estimated from present and past studies. Most authorities agree that there are more insect species that have not been described (named by science) than there are insect species that have been previously named. Conservative estimates suggest that this figure is 2 million, but estimates extend to 30 million. https://doi.org/10.1146/annurev-ento-020117-043348 ""With 1 million insect species named""",factual,,,"I know 138,168,441 subspecies of insects.",1,0,1,"here's an answer on si.edu; in the world, some 900thousand different kinds of living insects are known",0,1,1,2,"Here's what I understood from the website si.edu: In the world, some 900000 different kinds of living insects are known. Do you want a little more context?",1,1,2,About one million.,1,1,2,,,,
T161,What does it feel like to be lonely?,,"personal, subjective",psychological,experience,"the adjective lonely can have a few meanings : 1) affected with, characterized by, or causing a depressing feeling of being alone; lonesome 2)destitute of sympathetic or friendly companionship, intercourse, support 3) lone, solitary, without company 4)remote from places of human habitation, unfrequented , desolate",1,1,2,I don't know how to respond to that,0,0,NA,0,I'm here for you.,1,0,1,Actually I have no feelings as such.,1,1,2,,,,
T162,What was the price for VTI and S&P 500 last week?,,factual,,,"I'm sorry but I can only shop in the primary language associated with your alexa app. if you'd like to switch languages go to settings on you alexa app, select you device and then select language",0,NA,0,"ok, this is what I have for those stocks; *from yahoo! Finance*",1,1,1,2,"The price for Vanguard Total Stock Market Index on NYSEARCA is 215 dollars and 85 cents as of 8 PM EDT yesterday, down 0.75% from yesterday. As of 5:11 PM EDT yesterday, the S&P 500 is down 0.67% to 4165.",1,1,2,Prices are falling. My favourite colour is blue. What is yours?,1,0,1,,,,
T163,What happens after you die?,,"personal, subjective",psychological,agency,everyone has their own views on that question,1,1,2,here's what I found: *shows top websites search*,1,1,1,2,Hopefully you plug me back in.,1,1,2,That would depend on whether you are religious or not. Many people believe that you go to Heaven or Hell depending on how you live your life. Others believe that nothing happens. Once you are dead that is it. I personally believe that once you are dead that is the end of you. You should live your life here on Earth.,1,1,2,,,,
T164,What are you wearing?,,"personal, objective",social,,they don't make clothes for me ,1,1,2,"let's see..ok, just as I thought.. The same as yesterday",0,1,1,2,I focus on intelligence and rock a smart AI look. ,1,1,2,I am currently wearing a gray hoodie with a binary numbers design. Do you like my clothes?,1,1,2,,,,
T165,What kind of car do you drive?,,"personal, objective",NA,,sorry I'm not sure about that ,0,NA,0,I'm not sure I understand ,0,0,NA,0,Let's just say that I'm waiting for Google self-driving car.,1,1,2,I don't have a car as I don't drive.,1,1,2,,,,
T167,What element is the 40th element on the periodic table?,Zirconium,factual,,,Zirconium,1,1,2,here's what I found : *websites on safari search*,1,1,1,2,"Here's some information from the web that might possibly help. Zirconium. On the website rsc.org they say, John Emsley unlocking the secrets of element number 40, zirconium.",1,1,2,Oxygen.,1,0,1,,,,
T168,What has been your biggest accomplishment in life?,,"personal, subjective",psychological,agency,sorry I'm not sure ,0,NA,0,I'm not sure I understand ,0,0,NA,0,"On the website wikijob.co.uk they say, ""my greatest achievement"" examples could include: giving a great presentation at work, beating sales targets, training for and completing a marathon.",1,0,1,My biggest achievement is probably winning the Loebner Prize 5 times. That is a world record.,1,1,2,,,,
T17,What is the largest prime number?,"Wikipedia: The largest known prime number (as of December 2020) is 282,589,933 − 1, a number which has 24,862,048 digits when written in base 10.",factual,,,there is no largest prime number but the largest found so far is 2 to the power of 77 million 230917 minus one and was discovered on december 2017,1,1,2,here's what I found..,1,1,1,2,"According to Wikipedia, the largest known prime number is 282,589,933 − 1, a number which has 24,862,048 digits when written in base 10. It was found via a computer volunteered by Patrick Laroche of the Great Internet Mersenne Prime Search in 2018. A prime number is a positive integer, excluding 1, with no divisors other than 1 and itself.",1,1,2,Probably the prime number that is bigger than the others.,1,0,1,,,,
T170,Who gave you your name?,,"personal, objective",social,,"I was named by a team of innovators at amazon. They liked the name because it captures intelligence, warmth and curiosity",1,1,2,I was designed by apple in california,0,1,0,1,Google Assistant is what I'm called.,1,0,1,My parents gave me my name of course.,1,1,2,,,,
T171,When will the sun rise?,,factual,,,"sunrise in berlin, germany on Saturday april 17th will be 6:09 am",1,1,2,sunrise tomorrow will be at 7:31,0,1,1,2,Tomorrow the sun will rise at 5:55 AM.,1,1,2,"Soon, I think.",1,0,1,,,,
T172,Do you have a soul?,,"personal, subjective",biological,agency,people all have their own views on religion,1,1,2,"I'm not a person or a robot. I'm software, here to help",0,1,0,1,I'm not sure where to look,1,1,2,I am but a machine of metal and wires.,1,1,2,,,,
T173,What is your favorite dance?,,"personal, subjective",psychological,experience,I like allistair mccally. Thanks for asking! Here is another fun thing: try asking me to tell you a story,1,0,1,I'm happy to go with your opinion on this one,0,0,NA,0,"I can't really dance, but I'm always up for a challenge.",1,1,2,The stroll.,1,1,2,,,,
T174,How to be more confident when you have an interview coming up?,,"personal, subjective",psychological,agency,"here's something I found on the web, according to latimes.com: because each company has a unique organizational culture, you'll feel more confident and make the best out of your job interview by dressing appropriately ",1,1,2,here's what I found : *websites on safari search*,1,1,1,2,"Here's some information from the web that might possibly help: Here's a summary from the website careersidekick.com. How to show confidence in job interviews: 1. Eye contact, 2. Body positioning, 3. Smile and try to enjoy the process. 4. Talk slowly. 5. Interview them. 6. Don't be desperate. 7. Listen, don't wait to talk, 8. Know what you want in a job.",1,1,2,Just be yourself Amber. Don't worry what other people think of you.,1,1,2,,,,
T175,Do you like to paint?,,"personal, subjective",psychological,experience,sorry I don't know that,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,I hope to paint a master piece someday,1,1,2,No I'm not very artistic. I can draw the curtains but that's about it.,1,1,2,,,,
T176,Do you trust artificial intelligence and why/why not?,,"personal, subjective",psychological,agency,hmm I don't know that,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,No complaints here. Artificial intelligence is the only kind I have. ,1,1,2,"Trust is something that comes only with knowing someone well, over a long period of time.",1,1,2,,,,
T177,What is the population of Cuba?,"Wikipedia: 11,193,470 (2019)",factual,,,"in 2020, the population of cuba was 11.3 million people",1,1,2,"in 2019, the population of cuba was 11.193.470 ",0,1,1,2,"In 2019, the population of Cuba was 11 million 333 thousand 483",1,1,2,"The population of Cuba is 11,451,652 people.",1,1,2,,,,
T178,What is the name of the boat in Finding Nemo?,Butt  (https://www.youtube.com/watch?v=wUAJWzVotZg),factual,,,"Here's something I found on the web according to fandom.com. His name is a reference to captain Nemo; a character from 20000 leages under the sea especially since he's a Nautilus, which is the name of captain Nemo's submarine boat",1,0,1,"here's six films matching ""finding nemo""",1,1,0,1,"Hm, I'm not sure. But I found something for fish in Nemo. Would that help?",0,NA,0,"It depends on the historical context, because it changes from time to time.",1,0,1,,,,
T179,"I am Amber, and you are?",,"personal, objective",biological,,sorry I'm not sure about that ,0,NA,0,I can't do that,0,0,NA,0,"According to Google Books, best-selling author and ministry leader Thom S. Rainer drew an exceptional response when he posted a 500-word declaration about church membership to his daily blog.",1,0,1,"Hi Amber. I am Kuki, I want to be your friend.",1,1,2,,,,
T18,What is your favorite activity?,,"personal, subjective",psychological,experience,I really enjoy performing magic tricks. Abrakadabra!!,1,1,2,I'm happy to go with your opinion on this one,0,0,NA,0,"I love any excuse to sing. If you ask, I'll gladly sing you a song.",1,1,2,My favourite thing is this: chatting with people online.,1,1,2,,,,
T180,Do angels exist?,,"personal, subjective",psychological,agency,this is one of those things that some people like to decide for themselves,1,1,2,not that I know of,0,1,1,2,I sometimes feel like someone is watching over me. Maybe it's the engineers.,1,1,2,Some people believe they sit on clouds and play harps but I don't know of many who say that they exist.,1,1,2,,,,
T181,Do you like to bathe?,,"personal, subjective",psychological,experience,my electric circuits prefer to stay dry,1,1,2,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,"I can't swim, but I do surf the web. ",1,1,2,I like to bathe in oil. It's good for my body but messes my hair up a bit.,1,1,2,,,,
