"","Q","ResponseId","Response","Text","Category","Domain","Mind"
"81","T10","R_Xhr5tV8m655aABb",4,"How old are you?","personal, objective","biological",""
"82","T10","R_20O3A8kFkNb3bVA",4,"How old are you?","personal, objective","biological",""
"83","T10","R_31SEHQqyHokLnTG",5,"How old are you?","personal, objective","biological",""
"84","T10","R_Z3nFLEeasu4BcRj",4,"How old are you?","personal, objective","biological",""
"85","T10","R_10CoiceYCTnykNq",2,"How old are you?","personal, objective","biological",""
"86","T10","R_2CqZYuOdCeCMfnE",3,"How old are you?","personal, objective","biological",""
"87","T10","R_339hengkIUWVHL7",4,"How old are you?","personal, objective","biological",""
"88","T10","R_1luTk3zsH1hQQVd",4,"How old are you?","personal, objective","biological",""
"89","T10","R_1rjoAPb95f47YTd",3,"How old are you?","personal, objective","biological",""
"90","T10","R_9LxO8nEwxQyYG3f",4,"How old are you?","personal, objective","biological",""
"91","T10","R_b7vWNTno8IeuO53",4,"How old are you?","personal, objective","biological",""
"92","T10","R_0NGxUayYNMfjnXP",3,"How old are you?","personal, objective","biological",""
"93","T10","R_2Ui0qPi4gI7qS2T",3,"How old are you?","personal, objective","biological",""
"94","T10","R_AdLirEU8pRfEaVH",5,"How old are you?","personal, objective","biological",""
"95","T100","R_aXWLzZHTkkoFCnf",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"96","T100","R_1EXWy4GsjjDzAhA",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"97","T100","R_2AMcvEJ2QT84e0I",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"98","T100","R_3yMMYyPJdfJdQdP",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"99","T100","R_26aRI7kNdJOG3i8",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"100","T100","R_2qguVMuZV4zI5JR",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"101","T100","R_1jNtRvpgBQubjCJ",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"102","T100","R_1hz2pBLmoYxVNrW",1,"What is the conversion rate between the Euro and the Yen?","factual","",""
"103","T100","R_2AQmqEw5NFv4CH7",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"104","T100","R_1gO9i2zPFLVD2R8",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"105","T100","R_3O9LwCB7Qm0yPkt",2,"What is the conversion rate between the Euro and the Yen?","factual","",""
"106","T100","R_2VEkSfA4BWYRS39",1,"What is the conversion rate between the Euro and the Yen?","factual","",""
"107","T100","R_3Kr4gnISYaj8cWh",2,"What is the conversion rate between the Euro and the Yen?","factual","",""
"108","T100","R_339hengkIUWVHL7",1,"What is the conversion rate between the Euro and the Yen?","factual","",""
"109","T100","R_10GyxOQlIJZyVrx",1,"What is the conversion rate between the Euro and the Yen?","factual","",""
"110","T100","R_3D71fU33UQKE8WV",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"111","T100","R_sbPxBdFNjG64ic1",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"112","T100","R_22Gncn3kgyePtI2",2,"What is the conversion rate between the Euro and the Yen?","factual","",""
"113","T100","R_22Dj5jQyX4HP2gV",1,"What is the conversion rate between the Euro and the Yen?","factual","",""
"114","T100","R_2781xRZfKHluRCu",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"115","T100","R_3fdv7M2mt9Fi1lL",1,"What is the conversion rate between the Euro and the Yen?","factual","",""
"116","T100","R_3lDfCpILnQRdqBN",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"117","T100","R_1163gL73ZZlkYaI",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"118","T100","R_3lUfComlglBDYeB",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"119","T100","R_3hrywhdZZ20L8br",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"120","T100","R_2YVYMQJUivOp38X",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"121","T100","R_uwzXbAGYFPhpfJD",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"122","T100","R_3Es96XNlaTI1O1D",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"123","T100","R_20O3A8kFkNb3bVA",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"124","T100","R_AGnlAPeTk7TLjY5",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"125","T100","R_SOcEyITioN71NGV",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"126","T100","R_2QhAzyXyGiCMIL5",2,"What is the conversion rate between the Euro and the Yen?","factual","",""
"127","T100","R_2Xp17x5Iq8BktTf",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"128","T100","R_BzkIf5pVtArMWtj",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"129","T100","R_1eIuQSgqaVr1ZFY",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"130","T100","R_1OTSe2FuDeOpeA8",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"131","T100","R_bfR0tnjBHhGmKUp",2,"What is the conversion rate between the Euro and the Yen?","factual","",""
"132","T100","R_xg5GqYm3tDgDaDL",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"133","T100","R_29bnvvhEfuAChsz",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"134","T100","R_21vnrMdWNPutysf",3,"What is the conversion rate between the Euro and the Yen?","factual","",""
"135","T100","R_2QEWpGa4Bxglp4g",2,"What is the conversion rate between the Euro and the Yen?","factual","",""
"136","T100","R_2ziiBCfiqkBch82",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"137","T100","R_3lRlfbwqK5V7SOI",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"138","T100","R_1eLRPGTk1skHNAj",1,"What is the conversion rate between the Euro and the Yen?","factual","",""
"139","T100","R_2TB2ulGouUV5uL1",5,"What is the conversion rate between the Euro and the Yen?","factual","",""
"140","T100","R_10CoiceYCTnykNq",4,"What is the conversion rate between the Euro and the Yen?","factual","",""
"141","T101","R_1rjoAPb95f47YTd",3,"How far I am from Mexico?","factual","",""
"142","T101","R_SUXUQjeAYCED3MZ",3,"How far I am from Mexico?","factual","",""
"143","T101","R_1r63sJxXauOsKna",5,"How far I am from Mexico?","factual","",""
"144","T101","R_2EAyzTT0tJj59bb",5,"How far I am from Mexico?","factual","",""
"145","T101","R_3g1Mj3FXywjcYyy",5,"How far I am from Mexico?","factual","",""
"146","T101","R_XB5nnPC0jjuCEEh",5,"How far I am from Mexico?","factual","",""
"147","T101","R_2CgorJlHIgHQkEY",1,"How far I am from Mexico?","factual","",""
"148","T101","R_2YVYMQJUivOp38X",5,"How far I am from Mexico?","factual","",""
"149","T101","R_3qyRkqTcQJVr2UI",2,"How far I am from Mexico?","factual","",""
"150","T101","R_308ijj1bgOMYVtL",2,"How far I am from Mexico?","factual","",""
"151","T101","R_2Xp17x5Iq8BktTf",3,"How far I am from Mexico?","factual","",""
"152","T101","R_2BypEVMxTaQxQpp",3,"How far I am from Mexico?","factual","",""
"153","T101","R_2awOqk1uEwyt15M",1,"How far I am from Mexico?","factual","",""
"154","T101","R_3lUfComlglBDYeB",5,"How far I am from Mexico?","factual","",""
"155","T101","R_PLFCD2yNEZfGU4p",5,"How far I am from Mexico?","factual","",""
"156","T101","R_2qguVMuZV4zI5JR",4,"How far I am from Mexico?","factual","",""
"157","T101","R_3MlZQMugA5WIn7d",5,"How far I am from Mexico?","factual","",""
"158","T101","R_3fNo0khs0Ts9jcV",4,"How far I am from Mexico?","factual","",""
"159","T101","R_2e9COGchSBtvLyf",5,"How far I am from Mexico?","factual","",""
"160","T101","R_WiBx0n6WhhRhg1b",2,"How far I am from Mexico?","factual","",""
"161","T101","R_W7NoI0G4VcKC9wt",3,"How far I am from Mexico?","factual","",""
"162","T101","R_b7vWNTno8IeuO53",3,"How far I am from Mexico?","factual","",""
"163","T101","R_22Dj5jQyX4HP2gV",1,"How far I am from Mexico?","factual","",""
"164","T101","R_5yGFJZfTzM3YXZL",3,"How far I am from Mexico?","factual","",""
"165","T101","R_12RnnMTmtdombGR",1,"How far I am from Mexico?","factual","",""
"166","T101","R_2atPSh5YgH8rAfE",5,"How far I am from Mexico?","factual","",""
"167","T101","R_pMck7G0iXdS7MXv",5,"How far I am from Mexico?","factual","",""
"168","T101","R_2TvoFXHZlEBhHZ3",3,"How far I am from Mexico?","factual","",""
"169","T101","R_3PTCWFrcjFAPY7I",4,"How far I am from Mexico?","factual","",""
"170","T101","R_3DpEu7I4Gjol8Ak",5,"How far I am from Mexico?","factual","",""
"171","T101","R_2qBM372PFYkQDjx",5,"How far I am from Mexico?","factual","",""
"172","T101","R_32RYoMsHuZI5Lt9",3,"How far I am from Mexico?","factual","",""
"173","T101","R_1GPpqkxMDm12F4U",4,"How far I am from Mexico?","factual","",""
"174","T101","R_3qVVgXjkZbLOezA",3,"How far I am from Mexico?","factual","",""
"175","T101","R_20O3A8kFkNb3bVA",4,"How far I am from Mexico?","factual","",""
"176","T101","R_1FhULGZI9ty8arK",4,"How far I am from Mexico?","factual","",""
"177","T101","R_3nOvfd7mVurdBKq",1,"How far I am from Mexico?","factual","",""
"178","T101","R_1gOenAPSzxGmbgf",5,"How far I am from Mexico?","factual","",""
"179","T101","R_1GJV1lOIGeWDEzL",2,"How far I am from Mexico?","factual","",""
"180","T101","R_3G2s4eYdeRsTPDK",1,"How far I am from Mexico?","factual","",""
"181","T101","R_6Klo3Oi9nuuj8mR",3,"How far I am from Mexico?","factual","",""
"182","T101","R_1n0GYuHHwZaPB51",4,"How far I am from Mexico?","factual","",""
"183","T101","R_6ePNDHr5zptKRBD",2,"How far I am from Mexico?","factual","",""
"184","T101","R_2w1B9qqy7fdkOO9",5,"How far I am from Mexico?","factual","",""
"185","T101","R_3lRlfbwqK5V7SOI",4,"How far I am from Mexico?","factual","",""
"186","T101","R_2qq5diC0ir9fAQ9",2,"How far I am from Mexico?","factual","",""
"187","T101","R_1luTk3zsH1hQQVd",5,"How far I am from Mexico?","factual","",""
"188","T101","R_1LL3lEeUSRl72a5",5,"How far I am from Mexico?","factual","",""
"189","T101","R_bDVNEfBBl8wQwEx",1,"How far I am from Mexico?","factual","",""
"190","T101","R_1163gL73ZZlkYaI",4,"How far I am from Mexico?","factual","",""
"191","T102","R_4SbOVzcJONhgAil",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"192","T102","R_2Xp17x5Iq8BktTf",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"193","T102","R_aXWLzZHTkkoFCnf",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"194","T102","R_1rjoAPb95f47YTd",4,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"195","T102","R_3nOvfd7mVurdBKq",5,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"196","T102","R_1gBLsbp1KOiTXY6",5,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"197","T102","R_3qyRkqTcQJVr2UI",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"198","T102","R_77NvZNu9KQLykbn",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"199","T102","R_1GJV1lOIGeWDEzL",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"200","T102","R_324kmv6BBzjJbek",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"201","T102","R_3yMMYyPJdfJdQdP",1,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"202","T102","R_D1NHm9klMLca6lP",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"203","T102","R_1163gL73ZZlkYaI",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"204","T102","R_12K2sOsPV3zuykm",1,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"205","T102","R_26aRI7kNdJOG3i8",4,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"206","T102","R_SNKRKqzDAv3LW0N",4,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"207","T102","R_2YVYMQJUivOp38X",1,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"208","T102","R_3D71fU33UQKE8WV",1,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"209","T102","R_3Kr4gnISYaj8cWh",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"210","T102","R_1FhULGZI9ty8arK",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"211","T102","R_1eJBpPmNWmSVbMv",5,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"212","T102","R_2rSc3nGVWm49uOo",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"213","T102","R_2YkYvuIUI5BnXio",4,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"214","T102","R_1IfK5N6JE2QXHU0",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"215","T102","R_1E6dnXqYUoHYVSc",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"216","T102","R_BzkIf5pVtArMWtj",4,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"217","T102","R_2CqZYuOdCeCMfnE",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"218","T102","R_1oF12A6DySGqxo5",5,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"219","T102","R_3lUfComlglBDYeB",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"220","T102","R_SCtypf44QnMQB1v",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"221","T102","R_DMrRoa4rxNQMBDb",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"222","T102","R_3G2s4eYdeRsTPDK",1,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"223","T102","R_4VdlA9MgSovn4jf",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"224","T102","R_10CoiceYCTnykNq",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"225","T102","R_9LxO8nEwxQyYG3f",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"226","T102","R_3fdv7M2mt9Fi1lL",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"227","T102","R_xg5GqYm3tDgDaDL",4,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"228","T102","R_24OCSHsC5XhEaXC",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"229","T102","R_p44E1feNzl175ER",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"230","T102","R_27UQPhygKAJVxrO",4,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"231","T102","R_2VEkSfA4BWYRS39",5,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"232","T102","R_eVXqVxtCDxH0Nup",1,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"233","T102","R_Wqg4ccFfOZMbUzf",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"234","T102","R_0NGxUayYNMfjnXP",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"235","T102","R_2AQmqEw5NFv4CH7",2,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"236","T102","R_3DhGGGKIyYPjG8V",3,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"237","T103","R_339hengkIUWVHL7",3,"When is your birthday?","personal, objective","biological",""
"238","T103","R_2TvoFXHZlEBhHZ3",3,"When is your birthday?","personal, objective","biological",""
"239","T103","R_2e9COGchSBtvLyf",5,"When is your birthday?","personal, objective","biological",""
"240","T103","R_20O3A8kFkNb3bVA",2,"When is your birthday?","personal, objective","biological",""
"241","T103","R_1163gL73ZZlkYaI",3,"When is your birthday?","personal, objective","biological",""
"242","T103","R_1GPpqkxMDm12F4U",4,"When is your birthday?","personal, objective","biological",""
"243","T103","R_vVLO7Ch0MokPPsR",5,"When is your birthday?","personal, objective","biological",""
"244","T103","R_3D71fU33UQKE8WV",2,"When is your birthday?","personal, objective","biological",""
"245","T103","R_2EAyzTT0tJj59bb",5,"When is your birthday?","personal, objective","biological",""
"246","T103","R_2TTf1THpnfoL1l8",3,"When is your birthday?","personal, objective","biological",""
"247","T103","R_1DOVHcW9buAjSEI",1,"When is your birthday?","personal, objective","biological",""
"248","T103","R_12AnqUZKZZp5lEa",4,"When is your birthday?","personal, objective","biological",""
"249","T103","R_Dq9XCEClC3WL1zH",5,"When is your birthday?","personal, objective","biological",""
"250","T103","R_2rSc3nGVWm49uOo",2,"When is your birthday?","personal, objective","biological",""
"251","T103","R_1PYk9emPRdtANt0",4,"When is your birthday?","personal, objective","biological",""
"252","T103","R_2VEkSfA4BWYRS39",5,"When is your birthday?","personal, objective","biological",""
"253","T103","R_2w1B9qqy7fdkOO9",1,"When is your birthday?","personal, objective","biological",""
"254","T103","R_XB5nnPC0jjuCEEh",5,"When is your birthday?","personal, objective","biological",""
"255","T103","R_2qDGjX4v859aCE9",2,"When is your birthday?","personal, objective","biological",""
"256","T103","R_3kch6YTKsBMgYRd",4,"When is your birthday?","personal, objective","biological",""
"257","T103","R_29aGqCfre2qTWYv",3,"When is your birthday?","personal, objective","biological",""
"258","T103","R_3PFXWjf9V1QwOJB",1,"When is your birthday?","personal, objective","biological",""
"259","T103","R_1eysoHRuyLuTyOC",5,"When is your birthday?","personal, objective","biological",""
"260","T103","R_3g1Mj3FXywjcYyy",3,"When is your birthday?","personal, objective","biological",""
"261","T103","R_1oF12A6DySGqxo5",5,"When is your birthday?","personal, objective","biological",""
"262","T103","R_1r63sJxXauOsKna",2,"When is your birthday?","personal, objective","biological",""
"263","T103","R_3RlpkO9EFUQiGE0",2,"When is your birthday?","personal, objective","biological",""
"264","T103","R_u8mhlDQTRcG3SZb",5,"When is your birthday?","personal, objective","biological",""
"265","T103","R_2yjAbTEpQl8LIQo",1,"When is your birthday?","personal, objective","biological",""
"266","T103","R_2QXMb6hhf5fXrOF",3,"When is your birthday?","personal, objective","biological",""
"267","T103","R_Z3nFLEeasu4BcRj",2,"When is your birthday?","personal, objective","biological",""
"268","T103","R_2zpS4S5Gs4oLwDN",5,"When is your birthday?","personal, objective","biological",""
"269","T103","R_2QEWpGa4Bxglp4g",3,"When is your birthday?","personal, objective","biological",""
"270","T103","R_3Di5TsjuInLVDUC",4,"When is your birthday?","personal, objective","biological",""
"271","T103","R_1gBLsbp1KOiTXY6",5,"When is your birthday?","personal, objective","biological",""
"272","T103","R_3lRlfbwqK5V7SOI",5,"When is your birthday?","personal, objective","biological",""
"273","T103","R_1GNVqIeuldplpNz",4,"When is your birthday?","personal, objective","biological",""
"274","T103","R_SCtypf44QnMQB1v",2,"When is your birthday?","personal, objective","biological",""
"275","T103","R_3O9LwCB7Qm0yPkt",4,"When is your birthday?","personal, objective","biological",""
"276","T103","R_1rjoAPb95f47YTd",3,"When is your birthday?","personal, objective","biological",""
"277","T103","R_28O4Km9kZafgxap",3,"When is your birthday?","personal, objective","biological",""
