"","Response","a","b","c","d","e","f"
"92","When the answer had too much detail or the answer was incredibly specific, I thought it was most likely an AI. Especially with the math questions.",0,0,1,0,0,0
"93","I would usually look for longer and more detailed answers to determain if it was written by an ai. That and less formal sayings such as Yo, hi or hey over an ai saying hello, greetings, etc.",1,1,1,0,0,0
"94","Some were tricky, but I went for the ones with the more wordy and precise answers as the AI ones.",0,1,1,0,0,0
"95","How natural the response would be in speech. Often the mood can be guessed as the answer can seem abrupt or dismissive. Also, complex calculations are unlikely to be done to numerous decimal places in a general conversation.",0,0,1,1,0,0
"96","If an answer for a difficult maths question was too precise I thought it was likely AL, as most people would have no clue to the answer.If a answer was too detailed I guessed it was AI also.  Some answers seemed spontaneous ie human and others too studied ie AL. Not sure why there were multiple questions with the same answer though?  Overall many of answers I had no idea if human or AI!",0,0,1,0,0,0
"97","I imagined a conversation and how people tend to respond naturally. I also considered how I would respond to some of the questions.",0,0,0,0,0,1
"98","I think human answers were more blunt and to the point, and used less descriptive language. Typically less ""friendly"" and bright than an ai response. And also they didn't know answers like specific conversion rates or somewhat complex math questions off the top of their head.",0,1,1,1,0,0
"99","Shorter answers. Calculations or figures to decimal places where AI so chose other answer. Also longer explanations adults usually answer one word. ",0,1,0,0,0,0
"100","I firstly answered the question myself and if the answer was similar or the same, id select that, in questions that were facts, i selected the answer that was less precise assuming the ai is knowledgable, also in some questions picked the one were the human would be very blunt, and in other scenarios where i knew the ai would be more blunt, however looking back i do feel i got a few wrong.",0,1,1,0,0,1
"101","I could be wrong but I thought the ai gave unnecessary information. There was also a few questions that most people wouldn’t know the answer to and the ai gave the exact answer which made it obvious. ",0,0,1,0,0,0
"102","I looked for imperfections in grammar, and a more 'informal' response rather than a perfectly structured answer. I paid attention to answers showing details about the nuances of emotions. ",1,0,0,0,0,0
