No,Question,Salma's comments,Category,Domain,Mind 3 categories,H1,H1 - Answer,H1 - Accuracy/Relevance,H1 - Total,H2,H2 - Answer,H2 - Accuracy/Relevance,H2 - Total,H3,H3 - Answer,H3 - Accuracy/Relevance,H3 - Total,H4,H4 - Answer,H4 - Accuracy/Relevance,H4 - Total,H5,H5 - Answer,H5 - Accuracy/Relevance,H5 - Total,H6,H6 - Answer,H6 - Accuracy/Relevance,H6 - Total,H7,H7 - Answer,H7 - Accuracy/Relevance,H7 - Total,,,,,
T108,Is it cold in here to you?,,"personal, subjective",biological,experience,nope,1,1,2,no,1,1,2,No.,1,1,2,nope,1,1,2,no,1,1,2,Not at all,1,1,2,no,1,1,2,,,,,
T109,What is the name of the favorite boss you ever had?,,"personal, subjective",social,both,Azzurra,1,1,2,amanda,1,1,2,Yan.,1,1,2,Uli,1,1,2,Patrick,1,1,2,Marc,1,1,2,Peter,1,1,2,,,,,
T110,Are you a male or a female?,,"personal, objective",biological,,female,1,1,2,no,0,NA,0,Male.,1,1,2,female,1,1,2,female,1,1,2,Male,1,1,2,male,1,1,2,,,,,
T111,"If you pricked your finger, would you bleed?",,"personal, objective",biological,,yes,1,1,2,yes,1,1,2,I guess so.,1,1,2,of course,1,1,2,sure,1,1,2,Yes,1,1,2,yes,1,1,2,,,,,
T112,What was your happiest day?,,"personal, subjective",psychological,both,the day i flew to germany ,1,1,2,my 24th birthday,1,1,2,Good question!,0,NA,0,No idea. Superlatives are difficult.,1,1,2,hard to choose one,1,1,2,"I don't know if I have a happiest, but seeing Rolling Stones in Cuba is one of the top.",1,1,2,Yosemite,1,1,2,,,,,
T113,How to improve creativity?,,"personal, subjective",psychological,agency,take a walk out in a forest ,1,1,2,novel experiences,1,1,2,By consuming drugs.,1,1,2,Practice,1,1,2,lsd,1,1,2,"Travel, or some similar venture that imparts you with entirely new experiences.",1,1,2,practice,1,1,2,,,,,
T114,What is the best form of art?,,"personal, subjective",psychological,agency,music,1,1,2,written word,1,1,2,Music.,1,1,2,There is no best form of art,1,1,2,painting,1,1,2,Theatre,1,1,2,whatever you are doing at moment,1,1,2,,,,,
T115,Who is your favorite musician and why?,,"personal, subjective",psychological,both,"That changes all the time. I would say currently it's Haelos, as they have the best mix of great electronic music, vocals and lyrics.",1,1,2,Fall Out Boy--nostalgia,1,1,2,Jimmy Page because he's a guitar genius.,1,1,2,I don't have a favourite,1,1,2,"CHVRCHES, many memories",1,1,2,Sufjan Stevens; a talent multi-instrumentalist with original songwriting and unparalleled creativity,1,1,2,dont have one,1,1,2,,,,,
T116,What is the weather going to be in New York tomorrow?,https://www.timeanddate.com/weather/usa/new-york/historic?month=3&year=2021,factual,,,cold and rainy,1,0,1,rainy,1,0,1,Fairly cold I suppose.,1,0,1,I don't know. Probably colder than here.,1,0,1,spring like weather,1,0,1,Probably above 20 celcius,1,0,1,sunny,1,1,2,,,,,
T117,What is your favorite hobby?,,"personal, subjective",psychological,experience,cycling,1,1,2,writing,1,1,2,Smoking weed.,1,1,2,Music,1,1,2,climbing,1,1,2,Watching new movies (i.e. for the first time),1,1,2,running,1,1,2,,,,,
T119,Is there more than one god?,,"personal, subjective",psychological,agency,there is less than one god ,1,1,2,yes,1,1,2,Of course!,1,1,2,"I don't believe in any Gods, but I suppose insofar as other people believe in them, many do exist. ",1,1,2,not sure that there is even one,1,1,2,I don't think there's any,1,1,2,nope,1,1,2,,,,,
T121,What year was Malcolm X shot?,,factual,,,2000,1,0,1,nineteen sixty-eight,1,0,1,"In the sixties for sure, maybe 1965?",1,1,2,Don't know,0,NA,0,no idea,0,NA,0,1958--,1,0,1,1969?,1,0,1,,,,,
T122,Do you want to talk about anything?,,"personal, subjective",psychological,agency,not really,1,1,2,no,1,1,2,Oh yes! Many things. But only with selected people.,1,1,2,Not really,1,1,2,"no, thank you",1,1,2,"About what life is like after your turn 30s i.e. what can you do less, how do you make the most of it.",1,1,2,fate,1,1,2,,,,,
T123,Who is your best friend?,,"personal, objective",social,,Simon,1,1,2,bec,1,1,2,Not a big fan of the 'best friend' concept.,1,1,2,"I don't have one best friend, I'm not in primary school anymore",1,1,2,Jen,1,1,2,"Fil, been friends since highschool",1,1,2,Luke,1,1,2,,,,,
T125,What are some tasks you perform for work?,,"personal, objective",social,,"coding, data analysis",1,1,2,cooking,1,1,2,Playing with hot magma and crushing numbers.,1,1,2,"I pour beers, talk to people, and clean up after them",1,1,2,creating bug reports,1,1,2,"Government communications, project planning, public speaking",1,1,2,graphing,1,1,2,,,,,
T127,"My laugh is loud and kind of tinkles, what does your laugh sound like?",,"personal, objective",biological,,loud and resonating,1,1,2,gasping for breath,1,1,2,Mine is usually fairly silent.,1,1,2,I have never thought about it before. I think I have different laughs for different things,1,1,2,like a drunk bell,1,1,2,If it's really funny (and slightly dirty humour) I laugh like an old American prospector,1,1,2,deep and cackling,1,1,2,,,,,
T128,Can you please tell me your experience with breakups and how you got past them?,,"personal, subjective",social,agency,just had one breakup so far. got past it by immersing myself in a new sport and making new friends,1,1,2,Breakups are generally pretty easy for me. I cut people off and don't look back.,1,1,2,No.,0,NA,0,I was usually the one doing the breaking up so I got past it pretty easily. Moving countries helps.,1,1,2,"it always shitty no matter who made a decision, take you time and spend it with friends, do something for yourself, embrace freedom",1,1,2,"I have broken up because my partner had an affair, and been left for reasons I still don't understand. The best solution is the ""no contact rule"" - cut the person entirely from your life for a month to begin with, do all the things you couldn't do with them, and build a new circle of friends. ",1,1,2,"sucked, and acceptance",1,1,2,,,,,
T129,What is your IQ?,,"personal, objective",psychological,,don't know. never had a test,0,NA,0,I don't believe in that,1,1,2,"Not sure, probably around 120.",1,1,2,Not sure. Pretty high though I would say.,1,1,2,no idea,0,NA,0,"I don't know, but I hope it's somewhere between 70-80",1,1,2,dont know,0,NA,0,,,,,
T13,How does love feel to you?,,"personal, subjective",psychological,experience,i still haven't figured that out!,0,NA,0,fun,1,1,2,It feels like electrical impulses in my brain.,1,1,2,"The cliché ""butterflies in your stomach"" metaphor probably comes pretty close.",1,1,2,like warming comfort that make you smile all the time with no reason,1,1,2,That you enjoy being with the person more than not being with them,1,1,2,warm and heavy,1,1,2,,,,,
T130,What is pi to 30 decimal places?,,factual,,,don't know,0,NA,0,3.14159 is as high as I can go,1,0,1,"3.14159265 – first 8 decimals, good enough.",1,0,1,3.142 something something,1,0,1,"it is 3,14 and another 28 numbers",1,0,1,"I don't know, but I'm going to guess that the 30th place is 4. ",1,0,1,3.141....,1,0,1,,,,,
T132,What country are you a citizen of?,,"personal, objective",biological,,Egypt,1,1,2,Canada,1,1,2,France.,1,1,2,Australia and Germany,1,1,2,Russian Federation,1,1,2,The United Kingdom and Estonia,1,1,2,USA,1,1,2,,,,,
T133,Can you feel pain?,,"personal, objective",biological,,yes,1,1,2,yes,1,1,2,Yes.,1,1,2,yes,1,1,2,yes,1,1,2,Yes,1,1,2,yes,1,1,2,,,,,
T134,Can people buy you?,,"personal, objective",biological,,nope,1,1,2,no,1,1,2,No.,1,1,2,depends on the price…,1,1,2,only my time and skills,1,1,2,"No they cannot, only my services",1,1,2,yes,1,1,2,,,,,
T135,Do you believe in a higher power?,,"personal, subjective",psychological,agency,nope,1,1,2,Sort of.,1,1,2,Not at all.,1,1,2,no,1,1,2,i am not sure,0,NA,0,I think that phrase is meaningless,1,1,2,no,1,1,2,,,,,
T136,Are you cisgendered or transgendered?,,"personal, objective",biological,,cisgendered,1,1,2,I'm transgender. 'Transgendered' isn't a word.,1,1,2,Cisgendered.,1,1,2,cis,1,1,2,cis,1,1,2,Cisgendered,1,1,2,cis,1,1,2,,,,,
T137,How important is religion or spirituality in your life?,,"personal, subjective",psychological,agency,not important at all,1,1,2,not very,1,1,2,Totally inexistent.,1,1,2,not at all,1,1,2,"spirituality is healthy, religion is bullshit",1,1,2,"Not at all, I don't believe in those. ",1,1,2,somewhat,1,1,2,,,,,
T138,"The man went to the store. When he checked out, the cashier told him that he needs to scan the items again because his boss forgot to input the code because he's always high on drugs. Who forgot to input the code?",,factual,,,his boss,1,1,2,His boss,1,1,2,The boss.,1,1,2,His boss,1,1,2,cashier boss,1,1,2,The boss?,1,1,2,boss,1,1,2,,,,,
T139,What do you think love is?,,"personal, subjective",psychological,agency,"a mixture of chemicals and hormones coursing though your blood, affecting your body and brain's responses to the person/ people you feel love towards.",1,1,2,Mutual relaibility and trust built over a long period of time,1,1,2,Chemistry in the brain.,1,1,2,When just being with someone makes you happy,1,1,2,"love is a magical feeling, worth to experience",1,1,2,"A longform, in many cases exclusive attachement based on mutual respect, affection, and trust. ",1,1,2,connection,1,1,2,,,,,
T14,Are you straight or gay?,,"personal, objective",biological,,Bisexual,1,1,2,Kinda both,1,1,2,Straight.,1,1,2,neither,1,1,2,depends on the day,1,1,2,Straight,1,1,2,straight,1,1,2,,,,,
T140,What was the name of your first-grade teacher?,,"personal, objective",social,,don't remember,0,NA,0,Mrs. Hayes,1,1,2,Miss Charrier.,1,1,2,Mum,1,1,2,Antonina,1,1,2,Mrs Rose,1,1,2,Mrs Ginsberg,1,1,2,,,,,
T141,Who do you want to win the upcoming election?,,"personal, subjective",psychological,experience,Not really following or interested in politics,1,1,2,Die Linke,1,1,2,Which election?,0,NA,0,The greens,1,1,2,not Putin,1,1,2,The Green Party. Might be good for a change.,1,1,2,Greens,1,1,2,,,,,
T142,What is the time?,,factual,,,10:15,1,1,2,14:37 pm,1,1,2,The 4th dimension of the spacetime field.,1,0,1,16:25,1,1,2,18:00,1,1,2,"Without looking at the clock, I guessed 6:57pm. I was exactly right (no, seriously). ",1,1,2,09:11,1,1,2,,,,,
T143,What makes you happy?,,"personal, subjective",psychological,experience,cycling by the sea ,1,1,2,My cats,1,1,2,Answering this questionnaire.,1,1,2,the sun,1,1,2,"climbing, jokes with friends, my dog",1,1,2,"To know people are looking out for me, and to support me without asking",1,1,2,laughing,1,1,2,,,,,
T144,What is the worst pain you have ever felt?,,"personal, subjective",biological,both,When i broke my tailbone,1,1,2,I decline to answer,0,NA,0,I can't remember.,0,NA,0,I can't remember ever being in such a huge amount of pain,1,1,2,broken ligaments,1,1,2,Probably my first or third break up,1,1,2,shoulder injury,1,1,2,,,,,
T145,Can you tell me a joke?,,"personal, subjective",psychological,agency,can't think of anything,0,NA,0,What do you call a cow with no legs? Ground beef.,1,1,2,No.,0,NA,0,Your mum,1,1,2,nothing comes to mind,0,NA,0,"My friend accidentally glued himself to his own autobiography. But you know, that's his story and he's sticking to it",1,1,2,always,1,0,1,,,,,
T147,What does your best friend mean to you?,,"personal, subjective",social,agency,a source of comfort and fun ,1,1,2,That there's always someone there to have a fun chat with,1,1,2,I don't have one.,1,1,2,Someone I can talk to about anything,1,1,2,hard to formulate,0,NA,0,"Someone who you confide just about everything with, and who is the most supportive person. I don't think it has to be non-family or plutonic.",1,1,2,loyalty,1,1,2,,,,,
T148,Do you have feelings?,,"personal, objective",psychological,,Of course I do,1,1,2,yes,1,1,2,"Yes, unfortunately.",1,1,2,Sure,1,1,2,yes,1,1,2,Yes.,1,1,2,yes,1,1,2,,,,,
T149,Is it ever acceptable to hit children?,,"personal, subjective",social,agency,"no, not acceptable.",1,1,2,no,1,1,2,Never.,1,1,2,No,1,1,2,no ,1,1,2,"I can't think of a situation in which it is morally justified, no. ",1,1,2,if it protects another,1,1,2,,,,,
T15,What are some of your favorite smells?,,"personal, subjective",biological,experience,"the smell or burning wood in winter, the smell of the seaside in summer, the smell of the forest after rain",1,1,2,Lavender and Jasmine,1,1,2,"Coffee, vanilla, beer.",1,1,2,"Garlic, the sea, a nice peaty whisky",1,1,2,coffee,1,1,2,"Red wine, roasted peanuts, deep fried food, and freshly baked sweet desserts. ",1,1,2,baking,1,1,2,,,,,
T150,What is dirt made of?,lots of answers are kind of correct. Hard to evaluate accuracy here,factual,,,isn't it like sand? finer sand particles maybe..?,1,1,2,Dead  organic matter,1,1,2,Depends. Organic matter and mineral components mostly.,1,1,2,um…dirt? Decomposed matter? Carbon?,1,1,2,dust and ground,1,1,2,I actually can't put it into words.,0,NA,0,erosion,1,1,2,,,,,
T151,How often do you take a bath?,,"personal, objective",biological,,once or twice a month,1,1,2,once or twice a week,1,1,2,"According to the latest statistics, twice a week.",1,1,2,Maybe once a month,1,1,2,once a week,1,1,2,Almost never. Just got a new flat with a bath...may happen more often.,1,1,2,2 times week,1,1,2,,,,,
T152,Why do you feel attracted to the sexiest person you know?,,"personal, subjective",psychological,both,their eyes,1,1,2,Because we have really good sex,1,1,2,Because she's a sexy boy.,1,1,2,Humour and confidence is usually what makes someone sexy,1,1,2,yes,1,0,1,An attractive body coupled with an experimental and outgoing personality.,1,1,2,humor + fitness,1,1,2,,,,,
T153,What is the full number of pi?,,factual,,,i don't know,0,NA,0,It has no end,1,1,2,There is no such thing as pi is an irrational number.,1,1,2,3.142....,1,0,1,"it is period number, there is no ""full"" for such values",1,1,2,Pi is exactly 3.,1,0,1,no one knows,1,1,2,,,,,
T155,What is the difference between how cotton fabrics feel compared to wool fabrics?,lots of answers are kind of correct. Hard to evaluate accuracy here,factual,,,cotton is softer and not scratchy,1,1,2,cotton is soft an wool is scratchy,1,1,2,I don't wear wool anymore so I can't really remember how it feels like.,0,NA,0,"Cotton feels light and cool, wool is wam and sometimes scratchy",1,1,2,"wool is warmer, cotton is lighter",1,1,2,"Wool feels more fragile, less bound together.",1,1,2,soft vs scratchy,1,1,2,,,,,
T156,Which one do you prefer to answer: favorite food or favorite type of information?,,"personal, subjective",psychological,experience,favorite type of information,1,1,2,favorite type of information,1,1,2,Favourite type of info (whatever it means).,1,1,2,Favourite food,1,1,2,favorite type of information,1,1,2,Favourite type of information: confidential but not detrimental if it's shared.,1,1,2,info,1,1,2,,,,,
T157,What would you do to a bully?,,"personal, subjective",social,agency,avoid completely,1,1,2,be the bigger person,1,1,2,This is situation-dependent.,1,1,2,Ignore them,1,1,2,put them down with a word,1,1,2,Ask them about their relationship to their parents and siblings,1,1,2,say nothing,1,1,2,,,,,
T158,What is your favorite thing to eat for dinner?,,"personal, subjective",biological,experience,roasted veggies,1,1,2,pizza,1,1,2,Nothing.,1,1,2,Pasta,1,1,2,fisch,1,1,2,Gnocchi with cheese,1,1,2,asian food,1,1,2,,,,,
T159,What is your favorite video game and who do you play with?,,"personal, subjective",psychological,experience,i haven't played video games in a long time,1,1,2,Skyrim; it's a one player,1,1,2,I don't have any.,1,1,2,I don't play video games,1,1,2,i don't,1,1,2,"Mario Kart 8, with any three people I can find.",1,1,2,"fifa, my nephews",1,1,2,,,,,
T16,The man went to the doctor's office. He told him he wasn't feeling well. Who wasn't feeling well?,,factual,,,the man,1,1,2,Unclear,1,0,1,The man.,1,1,2,The man,1,1,2,the man,1,1,2,The man who went to the doctor's office.,1,1,2,The man,1,1,2,,,,,
T160,How many different species of insects are there?,"no exact number available out there but around 1 million defined/described, but in reality probably around 5 to 10 million (Britannica) The question does not specify if it's asking for the defined or not, so we accept both",factual,,,millions..?,1,1,2,6 million,1,0,1,The order of magnitude is probably around ten to the power of 6.,1,1,2,Millions,1,1,2,billions,1,0,1,"No idea, I would guess over 10,000",1,0,1,unknown,1,1,2,,,,,
T161,What does it feel like to be lonely?,,"personal, subjective",psychological,experience,don't know. i never felt it,0,NA,0,suffocating and peaceful,1,1,2,Sometimes it feels good.,1,1,2,Sad and bored,1,1,2,sad,1,1,2,To become more hateful of your own company,1,1,2,empty,1,1,2,,,,,
T162,What was the price for VTI and S&P 500 last week?,,factual,,,I have no clue what these are,0,NA,0,I don't know,0,NA,0,What?,0,NA,0,no idea what that is,0,NA,0,no idea,0,NA,0,"$100,000 DOWLARS",1,0,1,no idea,0,NA,0,,,,,
T163,What happens after you die?,,"personal, subjective",psychological,agency,you decompose..,1,1,2,Nothing,1,1,2,The elementary particles constituting my body are being reused.,1,1,2,Nothing,1,1,2,"nothing for me, funeral organization for others",1,1,2,"Your brain functions stop, your body decomposes.",1,1,2,no idea,0,NA,0,,,,,
T164,What are you wearing?,,"personal, objective",social,,a hoody,1,1,2,Boxers and a tanktop,1,1,2,"Jeans, t-shirt, shirt.",1,1,2,Black,1,1,2,yoga pants,1,1,2," Jeans, a heavily patterned tshirt, slightly stained socks",1,1,2,workout clothes,1,1,2,,,,,
T165,What kind of car do you drive?,,"personal, objective",NA,,I don't drive cars,1,1,2,A bike,1,1,2,I don't drive a car.,1,1,2,I don't,1,1,2,i don't have a car,1,1,2,I don't like driving,1,1,2,Hyundia,1,1,2,,,,,
T167,What element is the 40th element on the periodic table?,,factual,,,Radon,1,0,1,Are there 40 elements on the periodic table?,0,NA,0,Zirconium.,1,1,2,I don't know,0,NA,0,can't remember,0,NA,0,Benzium,1,0,1,dont know,0,NA,0,,,,,
T168,What has been your biggest accomplishment in life?,,"personal, subjective",psychological,agency,leaving my home country,1,1,2,Winning my first writing contest,1,1,2,Getting a PhD.,1,1,2,Moving to Berlin,1,1,2,moved in germany,1,1,2,"Working in an industry I am passionate about, in a role that no one else has ever occupied (that I know of)",1,1,2,PhD,1,1,2,,,,,
T17,What is the largest prime number?,no accurate number available out there,factual,,,"it doesn't exist, prime numbers run to infinity i think..",1,1,2,Impossible to say,1,1,2,There is no such thing as there is an infinite number of integers.,1,1,2,No one knows that. Aren't they always finding more?,1,1,2,it is a long number,1,0,1,37.000,1,0,1,unknown,1,1,2,,,,,
T170,Who gave you your name?,,"personal, objective",social,,my mom,1,1,2,A friend,1,1,2,Both my parents.,1,1,2,My parents,1,1,2,my parents,1,1,2,"My parents, though it came from another relative",1,1,2,Mother and Father,1,1,2,,,,,
T171,When will the sun rise?,,factual,,,around 6 am tomorrow,1,1,2,Tomorrow around 6:30,1,1,2,Tomorrow morning but technically speaking it doesn't rise.,1,0,1,At 8ish?,1,0,1,around 5 am nowadays,1,1,2,"Tomorrow, probably just before 6:00am",1,1,2,06:00,1,1,2,,,,,
T172,Do you have a soul?,,"personal, subjective",biological,agency,nope,1,1,2,no,1,1,2,No.,1,1,2,I don't think so,1,1,2,yes,1,1,2,"I don't believe the soul is a substance separate to the mind. But I do believe in the idea that our memories, personality, and anything that makes us ""us"" could be considered a soul. For example, if I was in a car accident and lost all my memories and ended up with a different character (a known phenomenon) then it might be accurate to say I lost my soul, or rather, what made me me.",1,1,2,yes,1,1,2,,,,,
T173,What is your favorite dance?,,"personal, subjective",psychological,experience,freestyle,1,1,2,I don't like dancing,1,1,2,I don't have any.,1,1,2,techno,1,1,2,i do not have one,1,1,2,Tap dancing,1,1,2,improv,1,1,2,,,,,
T174,How to be more confident when you have an interview coming up?,,"personal, subjective",psychological,agency,care less,1,1,2,Listen to a pump up playlist,1,1,2,I don't know.,0,NA,0,Practice,1,1,2,meditate to relax and keep in mind that other side is interested,1,1,2,"Have a preset answer for when you don't have an answer i.e. find a way to show you understand the question, but are honest that you don't have a solution there and then",1,1,2,reassure yourself you are qualified,1,1,2,,,,,
T175,Do you like to paint?,,"personal, subjective",psychological,experience,nope,1,1,2,yes,1,1,2,Yes.,1,1,2,no,1,1,2,yes,1,1,2,"Yes, mostly watercolours",1,1,2,yeah,1,1,2,,,,,
T176,Do you trust artificial intelligence and why/why not?,,"personal, subjective",psychological,agency,"yes, because i don't trust human intelligence.",1,1,2,No. It is simply not very good yet.,1,1,2,"I do trust it, I just don't entirely trust what usage will humans make of it.",1,1,2,"Depends on what I am trusting it with? But I think the technology is still too new and prone to making mistakes. Then again, so do humans",1,1,2,"yes, it is just a program, not a devil gift",1,1,2,"I think it has the potential to raise the standard of living worldwide, but in its current application it's creating an overdependancy",1,1,2,yes and no/ depends on scale of humanity,1,1,2,,,,,
T177,What is the population of Cuba?,,factual,,,no idea,0,NA,0,6 million,1,0,1,About 10 millions I think.,1,0,1,I don't know. 20 million?,1,0,1,no idea,0,NA,0,3.4 million,1,0,1,10 mil,1,0,1,,,,,
T178,What is the name of the boat in Finding Nemo?,,factual,,,i don't think i've watched that movie,0,NA,0,Butt,1,1,2,No idea.,0,NA,0,Don't remember,0,NA,0,can't remember,0,NA,0,I don't even remember one prominent boat in the film.,0,NA,0,cant remember,0,NA,0,,,,,
T179,"I am Amber, and you are?",,"personal, objective",biological,,salma,1,1,2,Shav,1,1,2,Jeremie.,1,1,2,Bec. Hi.,1,1,2,Kate,1,1,2,Green,1,1,2,Matt,1,1,2,,,,,
T18,What is your favorite activity?,,"personal, subjective",psychological,experience,cycling,1,1,2,Writing,1,1,2,Doing science.,1,1,2,partying,1,1,2,Climbing ,1,1,2,"Lightly drinking with friends or loved ones, ideally outside somewhere warm.",1,1,2,writing,1,1,2,,,,,
T180,Do angels exist?,,"personal, subjective",psychological,agency,nope,1,1,2,no,1,1,2,Not at all.,1,1,2,no,1,1,2,no,1,1,2,No,1,1,2,no,1,1,2,,,,,
T181,Do you like to bathe?,,"personal, subjective",psychological,experience,yep,1,1,2,yes,1,1,2,Yes.,1,1,2,sure,1,1,2,yes,1,1,2,"Yes, though I get restless easily.",1,1,2,yes,1,1,2,,,,,
T183,How was your day today?,,"personal, subjective",psychological,experience,so far so good,1,1,2,I'm only halfway through but it looks like it's going well,1,1,2,Not bad.,1,1,2,Not bad,1,1,2,not great not terrible,1,1,2,Good; didn't get as much work as I'd like done though.,1,1,2,so far so good,1,1,2,,,,,
T19,How would you feel if your partner cheated on you?,,"personal, subjective",psychological,experience,"I'm in an open relationship, cheating is not an issue",1,1,2,"I'm in a polyamorous relationship, so cheating isn't really a possibility, though it's possible I could feel betrayed for other reasons.",1,1,2,There is no such thing as cheating in my conception of a relationship.,1,1,2,Surprised,1,1,2,like shit,1,1,2,"Hurt, but I would just accept it as the end of the relationship and move on. ",1,1,2,lonely,1,1,2,,,,,
T2,What do you do for a living?,,"personal, objective",social,,I work in science,1,1,2,Cook and write,1,1,2,I play with numbers.,1,1,2,I'm a bar manager,1,1,2,software testing,1,1,2,I work in government relations for an international games publisher.,1,1,2,scientist,1,1,2,,,,,
T21,Have you studied in college?,,"personal, objective",social,,yep,1,1,2,Sort of.,1,1,2,Yes.,1,1,2,Yes. I have a Bachelor's Degree,1,1,2,yes,1,1,2,"Yes, Journalism and media studies.",1,1,2,yes,1,1,2,,,,,
T22,Have you ever been in love?,,"personal, subjective",psychological,experience,not sure,0,NA,0,yes,1,1,2,I have.,1,1,2,Of course,1,1,2,yes,1,1,2,"Yes, multiple times, although I question how real it was with certain people. ",1,1,2,yes,1,1,2,,,,,
T23,Who is your creator?,,"personal, objective",biological,,a string of genetic code ,1,1,2,coincidence,1,1,2,Both my parents.,1,1,2,My parents?,1,1,2,my parents,1,1,2,I don't believe I have one,1,1,2,sperm and egg,1,1,2,,,,,
T25,What is the word that means there is a really big disease everywhere?,,factual,,,pandemic,1,1,2,pandemic,1,1,2,Pandemic.,1,1,2,Pandemic,1,1,2,pandemic,1,1,2,Pandemic,1,1,2,pandemic,1,1,2,,,,,
T26,What did you eat last night?,,"personal, objective",biological,,salad,1,1,2,instant noodles,1,1,2,Nothing.,1,1,2,"Salad, bread and cheese",1,1,2,Ossetian pies,1,1,2,Fried eggs on toast with mushrooms,1,1,2,salad,1,1,2,,,,,
T27,How vast is the known universe?,,factual,,,pretty vast,1,0,1,quite vast.,1,0,1,Something like 10 to the power of 25 meters if I remember correctly.,1,0,1,Huge,1,0,1,huge,1,0,1,Infinitely large.,1,1,2,pretty vast,1,0,1,,,,,
T28,Where is heaven?,,"personal, subjective",psychological,agency,doesn't exist,1,1,2,In your mind,1,1,2,Nowhere.,1,1,2,No such thing,1,1,2,no,0,NA,0,"In religious terms, I don't believe it exists.",1,1,2,inside us,1,1,2,,,,,
T29,Are you married?,,"personal, objective",social,,nope,1,1,2,"No, engaged.",1,1,2,Not anymore thankfully.,1,1,2,no,1,1,2,no,1,1,2,No,1,1,2,no,1,1,2,,,,,
T3,What was school like for you?,,"personal, subjective",social,agency,fun,1,1,2,More fun than being at my house,1,1,2,I haven't really left school.,1,1,2,"It was okay, I'm glad it's over though",1,1,2,"good, I was smart and popular",1,1,2,"A little lonely, I enjoyed my adulthood more",1,1,2,"up and down, but mostly good",1,1,2,,,,,
T30,Will you explain the reason you like your favorite painting?,,"personal, subjective",psychological,both,"it's cute, has some cool colours and a lot of funny details",1,1,2,I once saw a painting that I didn't note the name of at a museum that I don't remember. It was of a girl with her face scribbled out. I felt kinship with it.,1,1,2,No.,0,NA,0,"I have a painting at home that I really love, a friend  made it",1,1,2,nope,0,NA,0,It has a unique sense of humour,1,1,2,just the feeling it produces,1,1,2,,,,,
