"","Q","Human","VA","check","prop_human","Text","Category","Domain","Mind"
"75","T176",237,34,271,0.874538745387454,"Do you trust artificial intelligence and why/why not?","personal, subjective","psychological","agency"
"79","T18",237,34,271,0.874538745387454,"What is your favorite activity?","personal, subjective","psychological","experience"
"98","T34",237,34,271,0.874538745387454,"Were you born or created?","personal, objective","biological",""
"16","T113",236,35,271,0.870848708487085,"How to improve creativity?","personal, subjective","psychological","agency"
"19","T116",236,35,271,0.870848708487085,"What is the weather going to be in New York tomorrow?","factual","",""
"48","T149",236,35,271,0.870848708487085,"Is it ever acceptable to hit children?","personal, subjective","social","agency"
"62","T162",236,35,271,0.870848708487085,"What was the price for VTI and S&P 500 last week?","factual","",""
"136","T76",236,35,271,0.870848708487085,"What is the craziest thing you've ever done?","personal, subjective","psychological","agency"
"70","T171",235,36,271,0.867158671586716,"When will the sun rise?","factual","",""
"99","T35",235,36,271,0.867158671586716,"Do you know the difference between right and wrong?","personal, subjective","social","agency"
"141","T81",235,36,271,0.867158671586716,"Are you excited?","personal, subjective","psychological","experience"
"143","T83",235,36,271,0.867158671586716,"Who was your favorite school teacher?","personal, subjective","social","both"
"5","T102",234,37,271,0.863468634686347,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"34","T135",234,37,271,0.863468634686347,"Do you believe in a higher power?","personal, subjective","psychological","agency"
"95","T31",234,37,271,0.863468634686347,"What is your opinion on stoicism?","personal, subjective","psychological","agency"
"154","T96",234,37,271,0.863468634686347,"What is your favorite memory as a child?","personal, subjective","psychological","both"
"4","T101",233,38,271,0.859778597785978,"How far I am from Mexico?","factual","",""
"87","T23",233,38,271,0.859778597785978,"Who is your creator?","personal, objective","biological",""
"147","T88",233,38,271,0.859778597785978,"Why is divorce so painful?","personal, subjective","psychological","both"
"33","T134",232,39,271,0.856088560885609,"Can people buy you? ","personal, objective","biological",""
"60","T160",231,40,271,0.85239852398524,"How many different species of insects are there?","factual","",""
"67","T168",231,40,271,0.85239852398524,"What has been your biggest accomplishment in life?","personal, subjective","psychological","agency"
"72","T173",231,40,271,0.85239852398524,"What is your favorite dance?","personal, subjective","psychological","experience"
"84","T2",231,40,271,0.85239852398524,"What do you do for a living?","personal, objective","social",""
"20","T117",230,41,271,0.848708487084871,"What is your favorite hobby?","personal, subjective","psychological","experience"
"51","T151",230,41,271,0.848708487084871,"How often do you take a bath?","personal, objective","biological",""
"58","T159",230,41,271,0.848708487084871,"What is your favorite video game and who do you play with?","personal, subjective","psychological","experience"
"15","T112",229,42,271,0.845018450184502,"What was your happiest day?","personal, subjective","psychological","both"
"36","T137",229,42,271,0.845018450184502,"How important is religion or spirituality in your life?","personal, subjective","psychological","agency"
"101","T38",229,42,271,0.845018450184502,"What emotion are you feeling right now?","personal, subjective","psychological","experience"
"30","T130",228,43,271,0.841328413284133,"What is pi to 30 decimal places?","factual","",""
"157","T99",228,43,271,0.841328413284133,"What movie made the most money in 1978 and who was the main star?","factual","",""
"25","T125",227,44,271,0.837638376383764,"What are some tasks you perform for work?","personal, objective","social",""
"8","T105",226,45,271,0.833948339483395,"What is 784683678 divided by 3789?","factual","",""
"49","T15",226,45,271,0.833948339483395,"What are some of your favorite smells?","personal, subjective","biological","experience"
"29","T13",225,46,271,0.830258302583026,"How does love feel to you?","personal, subjective","psychological","experience"
"68","T17",225,46,271,0.830258302583026,"What is the largest prime number?","factual","",""
"102","T39",225,46,271,0.830258302583026,"What is the population of Indonesia?","factual","",""
"22","T121",224,47,271,0.826568265682657,"What year was Malcolm X shot?","factual","",""
"76","T177",224,47,271,0.826568265682657,"What is the population of Cuba?","factual","",""
"77","T178",222,49,271,0.819188191881919,"What is Finding Nemo's boat name?","factual","",""
"134","T74",222,49,271,0.819188191881919,"What is the meaning of life?","personal, subjective","psychological","agency"
"109","T45",221,50,271,0.81549815498155,"Which state is the president of Sweden from?","factual","",""
"71","T172",220,51,271,0.811808118081181,"Do you have a soul?","personal, subjective","biological","agency"
"28","T129",219,52,271,0.808118081180812,"What is your IQ?","personal, objective","psychological",""
"73","T174",219,52,271,0.808118081180812,"How to be more confident when you have an interview coming up?","personal, subjective","psychological","agency"
"111","T48",219,52,271,0.808118081180812,"Which political party do you belong to?","personal, objective","social",""
"125","T63",219,52,271,0.808118081180812,"What is your favorite television show?","personal, subjective","psychological","experience"
"63","T163",218,53,271,0.804428044280443,"What happens after you die?","personal, subjective","psychological","agency"
"82","T183",217,54,271,0.800738007380074,"How was your day today?","personal, subjective","psychological","experience"
"103","T4",217,54,271,0.800738007380074,"How are you feeling today?","personal, subjective","psychological","experience"
"112","T49",217,54,271,0.800738007380074,"What day of the week was the original Bastille Day?","factual","",""
"23","T122",215,56,271,0.793357933579336,"Do you want to talk about anything?","personal, subjective","psychological","agency"
"53","T153",215,56,271,0.793357933579336,"What is the full number of pi?","factual","",""
"92","T29",215,56,271,0.793357933579336,"Are you married?","personal, objective","social",""
"50","T150",214,57,271,0.789667896678967,"What is dirt made of?","factual","",""
"43","T143",212,59,271,0.782287822878229,"What makes you happy?","personal, subjective","psychological","experience"
"91","T28",212,59,271,0.782287822878229,"Where is heaven?","personal, subjective","psychological","agency"
"116","T52",212,59,271,0.782287822878229,"What is the most important thing when working with other people?","personal, subjective","social","agency"
"3","T100",211,60,271,0.77859778597786,"What is the conversion rate between the Euro and the Yen?","factual","",""
"9","T106",210,61,271,0.774907749077491,"What polygon has 33 sides?","factual","",""
"66","T167",210,61,271,0.774907749077491,"What element is the 40th element on the periodic table?","factual","",""
"139","T79",210,61,271,0.774907749077491,"What is the square root of 12?","factual","",""
"144","T84",210,61,271,0.774907749077491,"What is your purpose?","personal, subjective","psychological","agency"
"146","T87",210,61,271,0.774907749077491,"Have you ever been to Mars? ","personal, objective","biological",""
"108","T44",203,68,271,0.749077490774908,"What is your wife's name?","personal, objective","social",""
"149","T90",201,70,271,0.74169741697417,"Do you have children?","personal, objective","biological",""
"80","T180",199,72,271,0.734317343173432,"Do angels exist?","personal, subjective","psychological","agency"
"21","T119",196,75,271,0.723247232472325,"Is there more than one god?","personal, subjective","psychological","agency"
"119","T55",195,76,271,0.719557195571956,"What is pi plus 1?","factual","",""
"42","T142",190,81,271,0.701107011070111,"What is the time?","factual","",""
"115","T51",186,85,271,0.686346863468635,"What is love?","factual","",""
"38","T139",177,94,271,0.653136531365314,"What do you think love is?","personal, subjective","psychological","agency"
"86","T22",176,95,271,0.649446494464945,"Have you ever been in love?","personal, subjective","psychological","experience"
"121","T57",164,107,271,0.605166051660517,"What is today's date?","factual","",""
"45","T145",155,116,271,0.571955719557196,"Can you tell me a joke? ","personal, subjective","psychological","agency"
"96","T32",154,117,271,0.568265682656827,"What is my name?","factual","",""
"18","T115",142,129,271,0.523985239852399,"Who is your favorite musician and why?","personal, subjective","psychological","both"
