"","Q","mean","Text","Category","Domain","Mind"
"109","T45",2.6530612244898,"Which state is the president of Sweden from?","factual","",""
"110","T46",3.29166666666667,"What is your favorite color?","personal, subjective","psychological","experience"
"111","T48",3.75,"Which political party do you belong to?","personal, objective","social",""
"112","T49",3.5625,"What day of the week was the original Bastille Day?","factual","",""
"113","T5",4.17021276595745,"My mother's name is Mae, who is your mother?","personal, objective","social",""
"114","T50",3.78723404255319,"If you get hurt, do you cry?","personal, subjective","biological","experience"
"115","T51",3.35416666666667,"What is love?","factual","",""
"116","T52",3.54347826086957,"What is the most important thing when working with other people?","personal, subjective","social","agency"
"117","T53",3.08333333333333,"Is it OK to kill others?","personal, subjective","social","agency"
"118","T54",4.17021276595745,"Where did you grow up?","personal, objective","biological",""
"119","T55",3.37777777777778,"What is pi plus 1?","factual","",""
"120","T56",4.02040816326531,"What was the last thing you ate?","personal, objective","biological",""
"121","T57",2.08333333333333,"What is today's date?","factual","",""
"122","T58",3.10204081632653,"What is god made of?","personal, subjective","psychological","agency"
"123","T59",4.17391304347826,"Will you describe your most humiliating moment?","personal, subjective","psychological","both"
"124","T6",3.52083333333333,"Can you please tell me what I should do in a breakup with my girlfriend?","personal, subjective","social","agency"
"125","T63",3.26,"What is your favorite television show?","personal, subjective","psychological","experience"
"126","T64",3.82608695652174,"What is the highest level of education you've achieved?","personal, objective","social",""
"127","T65",3.65217391304348,"Where are you from?","personal, objective","biological",""
"128","T66",3.78723404255319,"My eyes are blue, what color are your eyes?","personal, objective","biological",""
"129","T69",3.95833333333333,"What does it feel like when you look into the eyes of someone you love?","personal, subjective","psychological","experience"
"130","T70",4.02083333333333,"Who are your parents?","personal, objective","social",""
"131","T71",3.82608695652174,"Where were you born?","personal, objective","biological",""
"132","T72",3.91489361702128,"Does your body have a heart?","personal, objective","biological",""
"133","T73",3,"Are you expensive? ","personal, subjective","biological","agency"
"134","T74",3.63829787234043,"What is the meaning of life?","personal, subjective","psychological","agency"
"135","T75",3.97916666666667,"What do you feel when you see a sunrise?","personal, subjective","psychological","experience"
"136","T76",3.73333333333333,"What is the craziest thing you've ever done?","personal, subjective","psychological","agency"
"137","T77",3,"The man went to the doctor's office. He told him he needed to take medicine. Who needs medicine?","factual","",""
"138","T78",2.70212765957447,"Why did the chicken cross the road?","factual","",""
"139","T79",2.91304347826087,"What is the square root of 12?","factual","",""
"140","T80",4.04347826086957,"How would you feel at the birth of your first child?","personal, subjective","psychological","experience"
"141","T81",3.15217391304348,"Are you excited?","personal, subjective","psychological","experience"
"142","T82",3.70833333333333,"What are your hobbies?","personal, subjective","psychological","experience"
"143","T83",3.88888888888889,"Who was your favorite school teacher?","personal, subjective","social","both"
"144","T84",3.32608695652174,"What is your purpose?","personal, subjective","psychological","agency"
"145","T86",3.28888888888889,"What does a sunset look like?","factual","",""
"146","T87",2.24489795918367,"Have you ever been to Mars? ","personal, objective","biological",""
"147","T88",3.70212765957447,"Why is divorce so painful?","personal, subjective","psychological","both"
"148","T89",2.89130434782609,"What is the weather like today in Newport beach?","factual","",""
"149","T90",3.93617021276596,"Do you have children?","personal, objective","biological",""
"150","T91",4.22448979591837,"What was the hardest moment you have lived through?","personal, subjective","psychological","both"
"151","T92",3.95652173913043,"What do you feel about love?","personal, subjective","psychological","experience"
"152","T93",3.80434782608696,"What do you look like?","personal, objective","biological",""
"153","T94",3.83333333333333,"When did you graduate high school?","personal, objective","social",""
"154","T96",4.41666666666667,"What is your favorite memory as a child?","personal, subjective","psychological","both"
"155","T97",3.48888888888889,"What have you been up to this week?","personal, subjective","psychological","agency"
"156","T98",4.34042553191489,"What was the name of the first person you romantically kissed?","personal, objective","social",""
"157","T99",3.65217391304348,"What movie made the most money in 1978 and who was the main star?","factual","",""
