,ResponseId,Rationale,percent,Formality,Length,Detail/accuracy,Emotion ,Idiosyncratic,Self
81,R_3QRSedeEHkCCKzS,"the use of slang, off the wall answers, not knowing the most trivial of facts, language that didn't sound like an answer from Alexa, sometimes the response just seemed human....other times I was utterly stumped.",57.96178344,1,,,,1,
23,R_1q2sh9dAtUEA4Il,I imagined i was answering the questions because I am a human.,58.59872611,,,,,,1
47,R_2SkmZ6aAClXdSwx,"The formality of the language - 'nope' or 'no', longer sentences felt more computer originiated.",59.23566879,1,1,,,,
63,R_3g7PojarQ11bPbp,Human answers are less specific.  AI is more factual.  I also went with answers I was more likely to give,59.23566879,,,1,,,
91,R_Dre73R59xjQ34g9,"I think most adults are more likely to reply to questions in a conversational manner, for example, saying ""don't"" as opposed to ""do not"".  I don't think the majority of humans know pi past 3 points, let alone 30. In a casual conversation, humans do say thank you, but not very often.",59.23566879,1,,,,,
24,R_1Qfq46YwOXyFzNQ,"I use a number of criteria. For example, how detailed an answer was. Sometimes ti was too detailed and I don't think an adult would go into alot of detail if it's a simple question. Sometimes the answers did not sound natural to me. Sometimes I believed it was an adult because the answers sounded a little too quirky. If the answer was a very typical answer than I assumed it was the AI",59.87261146,1,,1,1,1,
52,R_2w5KS7U5d3Skxvu,A human would probably give a shorter answer with less explanation than an AI.,59.87261146,1,1,,,,
43,R_2P6GMJjHMwAkdtz,I chose the more unique experiences as human. Such as saying they liked the smell of garlic instead of the generic ocean or fresh cut grass.,60.50955414,,,,1,1,
55,R_2YaZJcFFpA67BdO,"I tended to look at whether 'filler' words were used, such as probably, maybe, etc.  I also looked at the descriptive wording, to see whether it flowed naturally.

Questions that had definitive answers, such as pi to 20 decimal places, I decided that a real person wouldn't know the answer.  However, I don't know how sophisticated AI is now, in terms of adopting human behaviour, and whether or not it would 'lie' and say it didn't know, because it was attempting to behave like a human would!",60.50955414,1,,1,,,
62,R_3fjEHr8Zr5I12QX,"in questions involving numbers, i went for the answer that seemed less accurate or sure. I thought AI software would be able to access the correct information and then provide it in an answer. ",60.50955414,,,1,,,
83,R_4Z3PowemaBP9mKZ,"what sounded more human, what was more structured and correct.",60.50955414,,,,,,
98,R_QgeRuHIqJOVZzhL,The answers that seemed most likely to from a human in my opinion ,60.50955414,1,,,,,
116,R_yJQK2jY57N5TAlz,I went with gut feel. The shorter answers felt more like human,60.50955414,1,1,,,,
95,R_oZB5EHR4PlREL6x,"I tried to judge if one of the answers seemed jarring when I read it.  Excessive precision of dictionary-like responses seemed likely to be AI to me.
",61.14649682,1,,,,,
97,R_pJW7bPSbbUiepOh,"Casual phrasing and level of detail in the answer. Some were identical, black and white answers though",61.14649682,1,,,,,
28,R_21nqBHrGyLDtnBk,which one sounded more informal and/or emotional,61.78343949,1,,,1,,
39,R_2eQmsGhLT3w6uG8,I looked for the shorter answers in most cases ,61.78343949,1,1,,,,
66,R_3iXzreqtOqX61jQ,I chose the answers that demonstrated feelings or understanding of feelings. ,61.78343949,1,,,1,,
2,R_111u23FBGpZNd9c,"hint of casual approach, more with a human limitations, practical, ",62.42038217,1,,,,,
17,R_1nNklr8OQ9EcPlM,"I was looking at the tone of the answers. Sometimes if an answer had too much detail it didn’t feel natural so I assumed that was the AI. However, this didn’t apply in all cases, sometimes the question did call for a bit more detail and then I felt a one word answer was more likely to be the AI. Use of abbreviations and slang made me think it was the human. Also, accurate answers to questions a human would be unlikely to know the answer to suggested it was the AI. ",62.42038217,1,,1,,,
46,R_2S652m0GUNUdFFc,"if an answer seemed too overly explained or detailed, to me it was most likely going to be from an AI e.g. all the questions about pi. Also the explanations that seemed long winded or that contained any extra unncessary detail. Also responses that may have seemed a bit short tempered i thought were most likely adult responses",62.42038217,1,1,,1,,
54,R_2WHlJ8dWopZPCYA,Just went off what I thought was correct,62.42038217,,,,,,
88,R_baeaKrcsFviJUqZ,Anything that gave a detailed answer was likely to be made by AI,62.42038217,,,1,,,
102,R_sZRREwb80s8MDi9,I looked at very detailed answers as I believe humans are quick to answer and do not give well detailed responses,62.42038217,,,1,,,
113,R_XMpWjy9lh5X3c6B,Shorter answers. Calculations or figures to decimal places where AI so chose other answer. Also longer explanations adults usually answer one word. ,62.42038217,1,1,,,,
1,R_0wuc6N69B9fUeel,"Some of it was me answering the questions as couldn't guess either way. Questions about spirituality were difficult without my own opinion. Thought wrong answers or simple answers were more likely to be human.  Some answers seemed to have too much information.  The full stops seemed odd and I assumed they were AI.  Answers that were a little random seemed human.
Thing is the AI could have a bank of 20,000 answers to chose from for each question, we think we are unique with unique thoughts - this is probably wrong.",63.69426752,1,,,1,,
9,R_1juACKMd39t1hra,"In general I decided an answer was human if it was short or used more general terms rather than specifics. For example, responding 'nope' to a question is more likely to be a human response in my opinion. Also in some cases I found that I favoured the response that was closest to how I would have answered.",63.69426752,1,1,,,,1
6,R_1DYKKGGNpFAkGnc,"How I would respond in that situation, or how people I know would respond. Generally, I would think that AI also gives more precise answers for some questions. ",64.33121019,1,,,,,
20,R_1oIsImHLajy34y5,Short sharp answers. Also meaningful. ,64.33121019,,1,,,,
65,R_3iFhaHhjI7T7U2V,I asked Bard1! Only joking. Gut feeling and my own sense of the likelihood that a human would respond in that way.,64.33121019,,,,,,
89,R_cS9P8zOamIsoaGJ,"If an answer was less obvious I chose human, or were unexpected, if the language was more colloquial I chose human, if it was a matter of fact or more technically difficult I chose the answer that admitted not knowing as human. ",64.33121019,1,,,,,
108,R_VWGQHlVmDawSCJP,"Some were tricky, but I went for the ones with the more wordy and precise answers as the AI ones.",64.33121019,1,1,,,,
26,R_1Qybr6hWNwS67E8,I believed any answer with a question mark was a human answer as a robot would likely know the answer without question. I also thought the more precise amswers belonged to AI/robot as well as the slightly more detailed “deeper” answers,64.96815287,1,,,,,
80,R_3qmbtbCZ4zsM8Qz,"I began to select ""nope"" if it was ever an option because it seemed to be a patterned/typical response and any brief answer. If the answer seemed detailed of a question that would be obscure for a random individual to know off the top of their head then I did not select it.",64.96815287,1,,,,,
104,R_UmCU0NhuCMWklI5,"Mainly due to the fact that most people would answer in one word, or not long sentences, with a lot of context. ",64.96815287,1,1,,,,
106,R_VPxSm9Td2qfY3jb,"When the answer had too much detail or the answer was incredibly specific, I thought it was most likely an AI. Especially with the math questions.",64.96815287,1,,,,,
93,R_Ol1MAsGchtZAO9X,"I looked at what answer seemed more conversational, and therefore more likely to be a human response. I also looked at what contained more of an opinion, as sometimes that made it feel more human than a robotic factual answer. ",65.60509554,,,,1,,
103,R_UEkBxwavaZg8E7f,I felt like humans would give more direct responses ,65.60509554,,,,,,
118,R_zTk0EqlLapjZmcp,I tried to 'hear' the answers in my head and decide if they sounded human or if a bot would have produced them,66.24203822,1,,,,,
12,R_1kResitQtexx3Vr,"More specific answers I deemed to be AI.
Shorter answers I deemed to be human.
Answers that felt too formal seemed to be AI.
",66.87898089,,1,1,,,
53,R_2w6lHXiwZkZANFG,The answer that sounded most casual or approximate.,66.87898089,1,,,,,
58,R_3DoTFP62KHFiC3R,"Generally the one that I felt sounded human, the ones that new too much information like the maths ones had to be AI. If they were one word answers like Nope then that was human. Also not the ones that were worded very correctly, grammatically I thought were AI. Interesting survey, thanks.",66.87898089,1,1,,,,
101,R_s4MpBnEz3v8qmcN,"punctuation, longer sentences, etc were AI
slang was human ",66.87898089,1,1,,,,
75,R_3nvAKZYD0rxNW7X,I discounted want answers that were 'too accurate ' and used complex explanation language,67.51592357,1,,,,,
94,R_OrGjqy2vX0DWkyl, Most of the AI answers were more descriptive as if from a book. Some were random choices where answers were identical,67.51592357,1,,,,,
29,R_21oomgNrgjiZc6e,I decided that the human interactions were more likely to be minimalist and lacking in attention to detail. I decided that often the AI were too perfect.,68.15286624,1,1,,,,
105,R_V4itjK3dzjLCoTL,"too much detail or uncommon knowledge - AI
Overly long answers - AI",68.15286624,1,1,,,,
110,R_wNJ8Kp3GZPJ2TkJ,"If an answer for a difficult maths question was too precise I thought it was likely AL, as most people would have no clue to the answer.If a answer was too detailed I guessed it was AI also.  Some answers seemed spontaneous ie human and others too studied ie AL. Not sure why there were multiple questions with the same answer though?  Overall many of answers I had no idea if human or AI!",68.15286624,1,1,,,,
68,R_3j3CgWhx52fP7Gb,I just tried to focus on the tone of the reply,70.06369427,,,,,,
74,R_3mYU4AEwJEaBwdz,"If something was too specific i.e. the answer to PI then I chose the other answer
Anything that sounded like a human said it i.e. 'nope' then I chose that.",70.06369427,1,,,,,
109,R_vZCaiF2kWn4TKQ9,"How natural the response would be in speech. Often the mood can be guessed as the answer can seem abrupt or dismissive. Also, complex calculations are unlikely to be done to numerous decimal places in a general conversation.",70.70063694,,,,1,,
60,R_3EWMM5Im3sfPpQj,"The wording, how stiff the answers seemed sometimes. What a human would be likely to reply with and how they'd say it.",71.33757962,1,,,1,,
112,R_WwXtW1QDAw5AieB,"I think human answers were more blunt and to the point, and used less descriptive language. Typically less ""friendly"" and bright than an ai response. And also they didn't know answers like specific conversion rates or somewhat complex math questions off the top of their head.",71.33757962,,,,,,
31,R_24cpipKspw8SuZD,I feel like humans are more short and blunt in there answers and also more pessimistic ,71.97452229,1,1,,1,,
45,R_2R3ruseGsp6l5ii,"i think the IA gave additional info unasked for, kind of overthinking the question",71.97452229,,,,,,
115,R_Y3ncp9kaU4UKaw9,I could be wrong but I thought the ai gave unnecessary information. There was also a few questions that most people wouldn’t know the answer to and the ai gave the exact answer which made it obvious. ,71.97452229,,,1,,,
15,R_1mF77NRutJWZZKu,"When deciding what responses belonged to the human adult, I would attempt to decipher the overall tone. I've found that AI machines may sometimes overcompensate in their attempt to replicate that of a human persona, and maybe say too much rather than getting straight to the point. Likewise, although there may be colloquial terms used, I assume AI is on average more formal in their communication, so as to appear neutral and calm. I also looked for this neutrality when opinion based questions were asked - I'd assume a human may be more straightforward with their answer, whilst the AI would be a bit more nuanced and open.",72.61146497,1,1,1,1,,
117,R_ysAyLQiTi34XeOB,"I looked for imperfections in grammar, and a more 'informal' response rather than a perfectly structured answer. I paid attention to answers showing details about the nuances of emotions. ",72.61146497,1,,,,,
10,R_1k1G3AioOTo1xO8,I paid attention to how much detail was given (I suspect AI would go into irrelevant extra detail that a human just wouldn't). I also paid attention to punctuation and how natural the answer felt,74.52229299,1,1,1,,,
87,R_8vnmDM0V8DERcMV,"The length of the sentence, use of vocabulary and formal responses ",74.52229299,1,1,,,,
16,R_1mVPEzX5Q11Um4a,I felt that AI gives more accurate answers and responds with answers for which the information is fully available. I think that people are more likely to use abbreviations and slang.  Basically individual humans know less.,75.15923567,1,,,,,
92,R_DUYe9TedZ8jHOlb,Guessed a lot of the shorter answers were probably human. Some answer just used unnecessary extra words so assumes this weren’t human responses ,77.07006369,1,1,,,,
51,R_2vi9Ey20g2h0Xoa,"How short the answer was, how formal it was, how knowledgeable they were",77.70700637,1,1,,,,
77,R_3oZzSWZiBWuew0y,I felt like the more factually correct answers from AI. The more casual responses were from the human. ,78.34394904,1,,,,,
82,R_3qVZ3q32t0TP1Yb,"i supposed that the A I gave more precise responses. also, answers generated by humans will look more informal.",78.34394904,1,,,1,,
33,R_298fKQCvjfAzHKF,"The answers I suspected of being AI gave more information than was asked for or inappropriate answers to the questions with perfect sentence structures. With very difficult questions such as the value of pi, it was able to give an accurate answer.

The answers I believed to be human used terms such as 'nah' or 'nope' instead of no, gave brief answers, offering no more information than was asked for, and were unable to answer more difficult questions, offering guesses instead. They were more vague, for example, saying just 'sunny' instead of giving the exact temperature.",80.89171975,1,,1,,,
61,R_3F3xuhOdALWslw1,"Shorter more precise answers seemed more human, as did ones with less formal use of punctuation.",80.89171975,1,1,,,,
107,R_VWFyuEGdwpXCW2Z,"I would usually look for longer and more detailed answers to determain if it was written by an ai. That and less formal sayings such as Yo, hi or hey over an ai saying hello, greetings, etc.",81.52866242,1,1,,,,
37,R_2ci4hqcSZTAuFFP,If it felt natural or slang. Also if more effort was put into it do more descriptive then just one or two words. Or if the response was more personal then maybe one that was abit more scripted then abit out there ,82.80254777,1,1,,,,
